# hostname;interval;timestamp;pswpin/s;pswpout/s
lithium;60;1682719715;0.00;24.57
lithium;60;1682719775;0.00;0.18
lithium;60;1682719835;0.00;0.00
lithium;60;1682719895;0.00;0.00
lithium;60;1682719955;0.00;0.00
lithium;60;1682720015;0.00;0.00
lithium;60;1682720075;0.00;0.00
lithium;60;1682720135;0.00;0.00
lithium;60;1682720195;0.00;0.00
lithium;60;1682720255;0.00;0.00
lithium;60;1682720315;0.00;0.00
lithium;60;1682720375;0.00;0.00
lithium;60;1682720435;0.00;0.00
lithium;60;1682720495;0.00;0.00
lithium;60;1682720555;0.00;0.00
lithium;60;1682720615;0.00;0.00
lithium;60;1682720675;0.00;0.00
lithium;60;1682720735;0.00;0.00
lithium;60;1682720795;0.00;0.00
lithium;60;1682720855;0.00;2.13
lithium;60;1682720915;0.00;0.00
lithium;60;1682720975;0.00;1.07
lithium;60;1682721035;0.00;0.00
lithium;60;1682721095;0.00;1.07
lithium;60;1682721155;0.00;0.00
lithium;60;1682721215;0.00;1.07
lithium;60;1682721275;0.00;0.00
lithium;60;1682721335;0.00;1.07
lithium;60;1682721395;0.00;0.00
lithium;60;1682721455;0.00;0.00
lithium;60;1682721515;0.00;0.00
lithium;60;1682721575;0.00;0.00
lithium;60;1682721635;0.00;0.00
lithium;60;1682721695;0.00;0.00
lithium;60;1682721755;0.00;0.00
lithium;60;1682721815;0.00;0.00
lithium;60;1682721875;0.00;0.00
lithium;60;1682721935;0.00;0.00
lithium;60;1682721995;0.00;0.00
lithium;60;1682722055;0.00;0.00
lithium;60;1682722115;0.00;0.00
lithium;60;1682722175;0.00;0.00
lithium;60;1682722235;0.00;0.00
lithium;60;1682722295;0.00;0.00
lithium;60;1682722355;0.00;0.00
lithium;60;1682722415;0.00;0.00
lithium;60;1682722475;0.00;0.00
lithium;60;1682722535;0.00;0.00
lithium;60;1682722595;0.00;0.00
lithium;60;1682722655;0.00;0.00
lithium;60;1682722715;0.00;0.00
lithium;60;1682722775;0.00;0.00
lithium;60;1682722835;0.00;0.00
lithium;60;1682722895;0.00;0.00
lithium;60;1682722955;0.00;0.00
lithium;60;1682723015;0.00;0.00
lithium;60;1682723075;0.00;0.00
lithium;60;1682723135;0.00;0.00
lithium;60;1682723195;0.00;0.00
lithium;60;1682723255;0.00;0.00
