# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
lithium;60;1682721395;lo;696.88;696.88;356.41;356.41;0.00;0.00;0.00;0.00
lithium;60;1682721395;enp1s0;2186.53;2911.78;458.99;962.24;0.00;0.00;0.00;0.00
lithium;60;1682721455;lo;659.58;659.58;333.20;333.20;0.00;0.00;0.00;0.00
lithium;60;1682721455;enp1s0;1768.12;2453.75;369.42;782.74;0.00;0.00;0.00;0.00
lithium;60;1682721515;lo;669.35;669.35;342.07;342.07;0.00;0.00;0.00;0.00
lithium;60;1682721515;enp1s0;1882.70;2581.90;395.29;830.64;0.00;0.00;0.00;0.00
lithium;60;1682721575;lo;674.40;674.40;343.11;343.11;0.00;0.00;0.00;0.00
lithium;60;1682721575;enp1s0;1914.92;2632.15;401.29;846.48;0.00;0.00;0.00;0.00
lithium;60;1682721635;lo;650.03;650.03;331.02;331.02;0.00;0.00;0.00;0.00
lithium;60;1682721635;enp1s0;1823.08;2504.15;383.50;806.10;0.00;0.00;0.00;0.00
lithium;60;1682721695;lo;643.72;643.72;326.52;326.52;0.00;0.00;0.00;0.00
lithium;60;1682721695;enp1s0;1759.62;2431.47;369.11;777.89;0.00;0.00;0.00;0.00
lithium;60;1682721755;lo;616.73;616.73;313.87;313.87;0.00;0.00;0.00;0.00
lithium;60;1682721755;enp1s0;1545.25;2182.02;323.09;686.66;0.00;0.00;0.00;0.00
lithium;60;1682721815;lo;675.77;675.77;345.85;345.85;0.00;0.00;0.00;0.00
lithium;60;1682721815;enp1s0;1884.67;2582.07;395.17;832.48;0.00;0.00;0.00;0.00
lithium;60;1682721875;lo;684.82;684.82;347.93;347.93;0.00;0.00;0.00;0.00
lithium;60;1682721875;enp1s0;1931.43;2655.70;406.06;854.37;0.00;0.00;0.00;0.00
lithium;60;1682721935;lo;678.47;678.47;343.84;343.84;0.00;0.00;0.00;0.00
lithium;60;1682721935;enp1s0;1903.02;2623.12;399.26;841.73;0.00;0.00;0.00;0.00
lithium;60;1682721995;lo;678.72;678.72;344.27;344.27;0.00;0.00;0.00;0.00
lithium;60;1682721995;enp1s0;1891.83;2607.62;397.79;838.04;0.00;0.00;0.00;0.00
lithium;60;1682722055;lo;681.92;681.92;347.19;347.19;0.00;0.00;0.00;0.00
lithium;60;1682722055;enp1s0;1907.67;2613.02;401.44;843.64;0.00;0.00;0.00;0.00
lithium;60;1682722115;lo;690.87;690.87;351.09;351.09;0.00;0.00;0.00;0.00
lithium;60;1682722115;enp1s0;1945.92;2679.47;408.57;859.72;0.00;0.00;0.00;0.00
lithium;60;1682722175;lo;664.38;664.38;339.39;339.39;0.00;0.00;0.00;0.00
lithium;60;1682722175;enp1s0;1760.05;2457.97;367.62;780.25;0.00;0.00;0.00;0.00
lithium;60;1682722235;lo;663.96;663.96;339.41;339.41;0.00;0.00;0.00;0.00
lithium;60;1682722235;enp1s0;1873.40;2565.97;392.29;827.51;0.00;0.00;0.00;0.00
lithium;60;1682722295;lo;659.21;659.21;335.23;335.23;0.00;0.00;0.00;0.00
lithium;60;1682722295;enp1s0;1834.09;2515.40;384.73;811.44;0.00;0.00;0.00;0.00
lithium;60;1682722355;lo;628.95;628.95;317.17;317.17;0.00;0.00;0.00;0.00
lithium;60;1682722355;enp1s0;1640.02;2295.95;342.13;726.85;0.00;0.00;0.00;0.00
lithium;60;1682722415;lo;642.28;642.28;323.78;323.78;0.00;0.00;0.00;0.00
lithium;60;1682722415;enp1s0;1681.33;2349.50;351.50;744.71;0.00;0.00;0.00;0.00
lithium;60;1682722475;lo;629.37;629.37;321.70;321.70;0.00;0.00;0.00;0.00
lithium;60;1682722475;enp1s0;1630.03;2285.22;340.24;723.98;0.00;0.00;0.00;0.00
lithium;60;1682722535;lo;650.15;650.15;330.68;330.68;0.00;0.00;0.00;0.00
lithium;60;1682722535;enp1s0;1754.25;2439.97;367.59;776.35;0.00;0.00;0.00;0.00
lithium;60;1682722595;lo;648.84;648.84;330.74;330.74;0.00;0.00;0.00;0.00
lithium;60;1682722595;enp1s0;1808.20;2489.77;378.42;800.22;0.00;0.00;0.00;0.00
lithium;60;1682722655;lo;654.77;654.77;336.37;336.37;0.00;0.00;0.00;0.00
lithium;60;1682722655;enp1s0;1817.63;2506.57;380.45;804.79;0.00;0.00;0.00;0.00
lithium;60;1682722715;lo;658.95;658.95;334.82;334.82;0.00;0.00;0.00;0.00
lithium;60;1682722715;enp1s0;1878.48;2572.62;393.59;829.48;0.00;0.00;0.00;0.00
lithium;60;1682722775;lo;662.37;662.37;334.86;334.86;0.00;0.00;0.00;0.00
lithium;60;1682722775;enp1s0;1794.72;2492.78;374.66;794.07;0.00;0.00;0.00;0.00
lithium;60;1682722835;lo;684.25;684.25;347.74;347.74;0.00;0.00;0.00;0.00
lithium;60;1682722835;enp1s0;1947.98;2674.13;407.75;861.30;0.00;0.00;0.00;0.00
