ctime,datname,nspname,relname,locktype,database,relation,page,tuple,virtualxid,transactionid,classid,objid,objsubid,virtualtransaction,pid,mode,granted,fastpath,waitstart
1682725183.398404,dbt2,pg_catalog,pg_namespace,relation,22501,2615,,,,,,,,3/83948,23657,AccessShareLock,t,t,
1682725183.398404,dbt2,pg_catalog,pg_namespace_nspname_index,relation,22501,2684,,,,,,,,3/83948,23657,AccessShareLock,t,t,
1682725183.398404,dbt2,pg_catalog,pg_namespace_oid_index,relation,22501,2685,,,,,,,,3/83948,23657,AccessShareLock,t,t,
1682725243.409260,dbt2,public,customer,relation,22501,22508,,,,,,,,3/92549,23764,AccessShareLock,t,t,
1682725243.409260,dbt2,public,i_orders,relation,22501,22567,,,,,,,,3/92549,23764,AccessShareLock,t,t,
1682725243.409260,dbt2,public,orders,relation,22501,22519,,,,,,,,3/92549,23764,AccessShareLock,t,t,
1682725243.409260,dbt2,pg_catalog,pg_index,relation,22501,2610,,,,,,,,5/42325,23837,AccessShareLock,t,t,
1682725243.409260,dbt2,pg_catalog,pg_namespace,relation,22501,2615,,,,,,,,4/42560,23835,AccessShareLock,t,t,
1682725243.409260,dbt2,pg_catalog,pg_namespace_nspname_index,relation,22501,2684,,,,,,,,4/42560,23835,AccessShareLock,t,t,
1682725243.409260,dbt2,pg_catalog,pg_namespace_oid_index,relation,22501,2685,,,,,,,,4/42560,23835,AccessShareLock,t,t,
1682725243.409260,dbt2,public,pk_customer,relation,22501,22543,,,,,,,,3/92549,23764,AccessShareLock,t,t,
1682725303.403841,dbt2,public,customer,relation,22501,22508,,,,,,,,3/100960,23764,RowExclusiveLock,t,t,
1682725303.403841,dbt2,public,customer,relation,22501,22508,,,,,,,,3/100960,23764,AccessShareLock,t,t,
1682725303.403841,dbt2,public,district,relation,22501,22505,,,,,,,,3/100960,23764,RowExclusiveLock,t,t,
1682725303.403841,dbt2,public,history,relation,22501,22513,,,,,,,,3/100960,23764,RowExclusiveLock,t,t,
1682725303.403841,dbt2,public,i_customer,relation,22501,22568,,,,,,,,3/100960,23764,AccessShareLock,t,t,
1682725303.403841,dbt2,pg_catalog,pg_namespace,relation,22501,2615,,,,,,,,5/42327,23848,AccessShareLock,t,t,
1682725303.403841,dbt2,pg_catalog,pg_namespace_nspname_index,relation,22501,2684,,,,,,,,5/42327,23848,AccessShareLock,t,t,
1682725303.403841,dbt2,pg_catalog,pg_namespace_oid_index,relation,22501,2685,,,,,,,,5/42327,23848,AccessShareLock,t,t,
