ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,last_seq_scan,seq_tup_read,idx_scan,last_idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_tup_newpage_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1707240366.003617,4185,pg_toast,pg_toast_1213,0,0,3,1,,,,,4185,pg_toast,pg_toast_1213,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-19 17:40:09.295063-06,,,,4,0,0,0
1707240366.003617,4175,pg_toast,pg_toast_1260,0,0,3,1,,,,,4175,pg_toast,pg_toast_1260,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-19 17:40:09.101377-06,,,,4,0,0,0
1707240366.003617,2846,pg_toast,pg_toast_2396,0,0,3,1,,,,,2846,pg_toast,pg_toast_2396,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-19 17:40:09.500793-06,,,,4,0,0,0
1707240366.003617,4169,pg_toast,pg_toast_3600,0,0,1,0,,,,,4169,pg_toast,pg_toast_3600,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:08.955154-06,,,,1,0,0,0
1707240366.003617,4147,pg_toast,pg_toast_3079,0,0,1,0,,,,,4147,pg_toast,pg_toast_3079,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.131389-06,,,,1,0,0,0
1707240366.003617,4149,pg_toast,pg_toast_2328,0,0,1,0,,,,,4149,pg_toast,pg_toast_2328,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.517662-06,,,,1,0,0,0
1707240366.003617,4151,pg_toast,pg_toast_1417,0,0,1,0,,,,,4151,pg_toast,pg_toast_1417,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.515164-06,,,,1,0,0,0
1707240366.003617,4173,pg_toast,pg_toast_1418,0,0,1,0,,,,,4173,pg_toast,pg_toast_1418,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.621193-06,,,,1,0,0,0
1707240366.003617,4153,pg_toast,pg_toast_3118,0,0,1,0,,,,,4153,pg_toast,pg_toast_3118,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.666938-06,,,,1,0,0,0
1707240366.003617,4167,pg_toast,pg_toast_3256,0,0,1,0,,,,,4167,pg_toast,pg_toast_3256,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.636823-06,,,,1,0,0,0
1707240366.003617,4181,pg_toast,pg_toast_6000,0,0,3,1,,,,,4181,pg_toast,pg_toast_6000,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-19 17:40:10.031269-06,,,,4,0,0,0
1707240366.003617,4143,pg_toast,pg_toast_826,0,0,1,0,,,,,4143,pg_toast,pg_toast_826,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.60746-06,,,,1,0,0,0
1707240366.003617,4155,pg_toast,pg_toast_3394,0,0,1,0,,,,,4155,pg_toast,pg_toast_3394,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:08.093231-06,,,,1,0,0,0
1707240366.003617,3598,pg_toast,pg_toast_3596,0,0,1,0,,,,,3598,pg_toast,pg_toast_3596,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.516509-06,,,,1,0,0,0
1707240366.003617,4060,pg_toast,pg_toast_3592,0,0,3,1,,,,,4060,pg_toast,pg_toast_3592,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-19 17:40:10.129296-06,,,,4,0,0,0
1707240366.003617,6175,pg_toast,pg_toast_3456,0,0,1,0,,,,,6175,pg_toast,pg_toast_3456,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:06.553916-06,,,,1,0,0,0
1707240366.003617,6244,pg_toast,pg_toast_6243,0,0,3,1,,,,,6244,pg_toast,pg_toast_6243,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-19 17:40:09.892012-06,,,,4,0,0,0
1707240366.003617,4165,pg_toast,pg_toast_3350,0,0,1,0,,,,,4165,pg_toast,pg_toast_3350,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.648328-06,,,,1,0,0,0
1707240366.003617,6228,pg_toast,pg_toast_6106,0,0,1,0,,,,,6228,pg_toast,pg_toast_6106,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.661529-06,,,,1,0,0,0
1707240366.003617,4183,pg_toast,pg_toast_6100,0,0,3,1,,,,,4183,pg_toast,pg_toast_6100,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-19 17:40:10.10288-06,,,,4,0,0,0
1707240366.003617,1260,pg_catalog,pg_authid,91,42052,326,83790,0,0,3,1,1260,pg_catalog,pg_authid,53,2024-02-06 09:38:03.0388-06,207,42054,2024-02-06 11:26:06.005689-06,42054,0,0,0,0,0,15,0,0,0,2024-01-19 17:40:09.100845-06,,2024-01-19 17:40:09.10198-06,,4,0,4,0
1707240366.003617,24715,public,security,794,5100029,1034,858337,0,0,1,0,24715,public,security,135671,2024-02-06 09:38:04.025376-06,235990321,428502,2024-02-06 09:39:03.703202-06,430172,3425,170,0,141,29,3425,29,35,0,2024-01-16 18:19:05.534815-06,2024-01-16 17:23:17.736288-06,2024-01-16 18:19:05.845831-06,2024-01-16 17:23:18.692815-06,1,1,1,1
1707240366.003617,24718,pg_toast,pg_toast_24715,0,0,1,0,,,,,24718,pg_toast,pg_toast_24715,2,2024-01-16 17:22:34.347242-06,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:05.540484-06,,,,1,0,0,0
1707240366.003617,24608,public,holding,202693,392859,29736,753614,0,0,1,0,24608,public,holding,4,2024-01-16 17:37:55.756889-06,8857706,251457,2024-02-06 09:37:59.987045-06,4557993,4429423,445,598,6,439,4428913,955,1435,570,2024-01-16 18:17:25.040223-06,2024-01-16 17:24:17.402141-06,2024-01-16 18:18:35.098636-06,2024-01-16 17:26:16.114126-06,1,1,1,1
1707240366.003617,24612,pg_toast,pg_toast_24608,0,0,1,0,,,,,24612,pg_toast,pg_toast_24608,2,2024-01-16 17:23:29.446216-06,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:17:25.068326-06,,,,1,0,0,0
1707240366.003617,24640,pg_toast,pg_toast_24636,0,0,1,0,,,,,24640,pg_toast,pg_toast_24636,2,2024-01-16 17:22:33.699407-06,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.349427-06,,,,1,0,0,0
1707240366.003617,3429,pg_catalog,pg_statistic_ext_data,0,0,1,0,0,0,1,0,3429,pg_catalog,pg_statistic_ext_data,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.630522-06,,2024-01-16 18:19:09.63391-06,,1,0,1,0
1707240366.003617,24726,public,taxrate,152,3214,33,2719,,,,,24726,public,taxrate,2,2024-01-16 18:27:37.363207-06,640,2190,2024-02-06 09:38:03.681159-06,2151,320,165,0,164,1,320,3,35,0,2024-01-16 18:19:07.586561-06,,2024-01-16 18:19:07.589105-06,2024-01-16 17:23:35.171883-06,1,0,1,1
1707240366.003617,24707,pg_toast,pg_toast_24704,47,449067,6,415420,,,,,24707,pg_toast,pg_toast_24704,2,2024-01-16 17:24:38.907381-06,0,5210,2024-01-23 13:23:42.966863-06,10710,255000,0,0,0,0,255000,0,255000,0,2024-01-16 18:19:02.030067-06,2024-01-16 17:26:28.593972-06,,,1,1,0,0
1707240366.003617,24702,pg_toast,pg_toast_24699,0,0,1,0,,,,,24702,pg_toast,pg_toast_24699,2,2024-01-16 17:22:33.820652-06,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:06.396952-06,,,,1,0,0,0
1707240366.003617,24685,pg_toast,pg_toast_24682,0,0,1,0,,,,,24685,pg_toast,pg_toast_24682,2,2024-01-16 17:23:23.454004-06,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:18:35.472276-06,,,,1,0,0,0
1707240366.003617,24694,pg_toast,pg_toast_24690,0,0,1,0,,,,,24694,pg_toast,pg_toast_24690,2,2024-01-16 17:22:36.25731-06,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:18:57.669067-06,,,,1,0,0,0
1707240366.003617,24651,pg_toast,pg_toast_24648,0,0,1,0,,,,,24651,pg_toast,pg_toast_24648,2,2024-01-16 17:30:44.56795-06,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:11:39.913091-06,,,,1,0,0,0
1707240366.003617,1418,pg_catalog,pg_user_mapping,0,0,2,0,0,0,1,0,1418,pg_catalog,pg_user_mapping,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.62072-06,,2024-01-16 18:19:09.621302-06,,1,0,1,0
1707240366.003617,6100,pg_catalog,pg_subscription,0,0,8,48,0,0,3,1,6100,pg_catalog,pg_subscription,2972,2024-02-06 11:26:05.9917-06,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-19 17:40:10.094275-06,,2024-01-19 17:40:10.102983-06,,4,0,4,0
1707240366.003617,1249,pg_catalog,pg_attribute,906,361102,578,757492,,,,,1249,pg_catalog,pg_attribute,187,2024-01-23 13:13:05.191426-06,901,353128,2024-02-06 11:26:06.005689-06,816598,2849,0,0,0,0,3631,600,0,600,2024-01-16 18:19:05.350807-06,2024-01-23 13:01:30.606544-06,2024-01-16 18:19:05.420726-06,2024-01-16 16:55:16.504863-06,1,2,1,1
1707240366.003617,1255,pg_catalog,pg_proc,863,38036,462,79948,49,313,35,292,1255,pg_catalog,pg_proc,0,,0,34120,2024-02-06 11:26:06.002443-06,42744,25,0,0,0,0,3322,0,0,0,2024-01-16 18:19:04.293618-06,,2024-01-16 18:19:04.413219-06,,1,0,1,0
