ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1707240666.213358,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240666.213358,24576,dbt5,7,85630,9617,443378183,325927995,32513577984,256996247,585548157,19883,3473,0,55,22081282048,0,,,0,0,152176016.949,85009304.988,21562.029,10173,27,4,0,
1707240726.214530,0,,0,0,0,1069,1910747,558844,427553,2,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240726.214530,5,postgres,0,59531,0,4837,2176590,26221595,421083,0,0,0,0,0,0,0,,,0,0,12326.317,8005.233,0,6,0,0,0,
1707240726.214530,30444,dbt7,0,82373,10,46416880,2160050819,13118375689,1572592773,36950451,6241,1412596,0,929,37259597158,0,,,0,0,257429303.311,256859724.848,0,1672,0,0,0,
1707240726.214530,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240726.214530,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240726.214530,24576,dbt5,8,85688,9617,444633966,326710936,32601889089,257654930,585548160,19903,3473,0,55,22081282048,0,,,0,0,152372351.202,85146310.512,21573.239,10190,27,4,0,
1707240786.597503,0,,0,0,0,1069,1911193,558957,427656,2,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240786.597503,5,postgres,0,59533,0,4837,2176663,26222476,421097,0,0,0,0,0,0,0,,,0,0,12326.317,8005.233,0,6,0,0,0,
1707240786.597503,30444,dbt7,0,82375,10,46416880,2160050901,13118376834,1572592787,36950451,6241,1412596,0,929,37259597158,0,,,0,0,257429303.311,256859724.848,0,1672,0,0,0,
