ctime,name,blks_zeroed,blks_hit,blks_read,blks_written,blks_exists,flushes,truncates,stats_reset
1707240786.588861,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240786.588861,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707240786.588861,Xact,0,98968,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707240786.588861,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240846.316015,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707240846.316015,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707240846.316015,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707240846.316015,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240846.316015,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240846.316015,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707240846.316015,Xact,0,99074,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707240846.316015,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240906.261506,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707240906.261506,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707240906.261506,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707240906.261506,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240906.261506,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240906.261506,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707240906.261506,Xact,0,99090,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707240906.261506,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240966.289030,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707240966.289030,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707240966.289030,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707240966.289030,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240966.289030,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707240966.289030,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707240966.289030,Xact,0,99156,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707240966.289030,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241026.385670,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241026.385670,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241026.385670,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241026.385670,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241026.385670,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241026.385670,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241026.385670,Xact,0,99276,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241026.385670,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241086.336771,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241086.336771,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241086.336771,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241086.336771,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241086.336771,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241086.336771,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241086.336771,Xact,0,99294,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241086.336771,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241146.683285,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241146.683285,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241146.683285,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241146.683285,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241146.683285,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241146.683285,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241146.683285,Xact,0,99328,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241146.683285,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241206.488088,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241206.488088,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241206.488088,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241206.488088,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241206.488088,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241206.488088,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241206.488088,Xact,0,99342,4,52,0,54,0,2024-01-16 15:04:47.848815-06
