ctime,relid,indexrelid,schemaname,relname,indexrelname,idx_scan,last_idx_scan,idx_tup_read,idx_tup_fetch,relid,indexrelid,schemaname,relname,indexrelname,idx_blks_read,idx_blks_hit
1707240366.013610,24603,24604,pg_toast,pg_toast_24600,pg_toast_24600_index,0,,0,0,24603,24604,pg_toast,pg_toast_24600,pg_toast_24600_index,1,0
1707240366.013610,1255,2691,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,3096,2024-02-06 11:26:06.01874-06,11775,11775,1255,2691,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,251,8076
1707240366.013610,1247,2704,pg_catalog,pg_type,pg_type_typname_nsp_index,4079,2024-02-06 09:35:03.482792-06,3111,2701,1247,2704,pg_catalog,pg_type,pg_type_typname_nsp_index,99,11000
1707240366.013610,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,163,2024-01-16 18:03:12.560241-06,163,163,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,35,6400
1707240366.013610,24612,24613,pg_toast,pg_toast_24608,pg_toast_24608_index,0,,0,0,24612,24613,pg_toast,pg_toast_24608,pg_toast_24608_index,1,0
1707240366.013610,1259,2663,pg_catalog,pg_class,pg_class_relname_nsp_index,32525,2024-02-06 11:26:06.01874-06,16894,16474,1259,2663,pg_catalog,pg_class,pg_class_relname_nsp_index,128,76324
1707240366.013610,1259,3455,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,360,2024-02-06 11:26:05.989333-06,169,169,1259,3455,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,21,2389
1707240366.013610,1247,2703,pg_catalog,pg_type,pg_type_oid_index,433410,2024-02-06 11:26:06.01874-06,432721,432721,1247,2703,pg_catalog,pg_type,pg_type_oid_index,161,877824
1707240366.013610,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,353119,2024-02-06 11:26:06.01874-06,816708,816708,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,543,751402
1707240366.013610,2604,2656,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,,0,0,2604,2656,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,2,3
1707240366.013610,24629,24630,pg_toast,pg_toast_24626,pg_toast_24626_index,0,,0,0,24629,24630,pg_toast,pg_toast_24626,pg_toast_24626_index,1,0
1707240366.013610,2606,2664,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,14,2024-01-16 16:54:30.084384-06,0,0,2606,2664,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,14,200
1707240366.013610,2606,2665,pg_catalog,pg_constraint,pg_constraint_conrelid_contypid_conname_index,10855,2024-02-06 11:26:06.011751-06,40887,40887,2606,2665,pg_catalog,pg_constraint,pg_constraint_conrelid_contypid_conname_index,138,26162
1707240366.013610,2606,2666,pg_catalog,pg_constraint,pg_constraint_contypid_index,960,2024-02-06 09:36:13.611206-06,0,0,2606,2666,pg_catalog,pg_constraint,pg_constraint_contypid_index,41,1623
1707240366.013610,24634,24635,pg_toast,pg_toast_24631,pg_toast_24631_index,0,,0,0,24634,24635,pg_toast,pg_toast_24631,pg_toast_24631_index,1,0
1707240366.013610,2606,2579,pg_catalog,pg_constraint,pg_constraint_conparentid_index,0,,0,0,2606,2579,pg_catalog,pg_constraint,pg_constraint_conparentid_index,10,172
1707240366.013610,2611,2187,pg_catalog,pg_inherits,pg_inherits_parent_index,0,,0,0,2611,2187,pg_catalog,pg_inherits,pg_inherits_parent_index,2,7
1707240366.013610,2610,2678,pg_catalog,pg_index,pg_index_indrelid_index,30886,2024-02-06 11:26:06.017353-06,41437,41334,2610,2678,pg_catalog,pg_index,pg_index_indrelid_index,89,39708
1707240366.013610,2617,2689,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,42850,2024-02-06 11:26:06.011751-06,684702,684702,2617,2689,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,134,104725
1707240366.013610,2753,2754,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,,0,0,2753,2754,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,1,0
1707240366.013610,2616,2686,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,13482,2024-02-06 11:26:06.017353-06,573762,573762,2616,2686,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,86,17424
1707240366.013610,2601,2651,pg_catalog,pg_am,pg_am_name_index,0,,0,0,2601,2651,pg_catalog,pg_am,pg_am_name_index,2,1
1707240366.013610,2602,2653,pg_catalog,pg_amop,pg_amop_fam_strat_index,35767,2024-02-06 11:26:06.017353-06,35743,35743,2602,2653,pg_catalog,pg_amop,pg_amop_fam_strat_index,122,80994
1707240366.013610,2602,2654,pg_catalog,pg_amop,pg_amop_opr_fam_index,27113,2024-02-06 11:26:06.017353-06,115687,115687,2602,2654,pg_catalog,pg_amop,pg_amop_opr_fam_index,204,63920
1707240366.013610,2603,2655,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,79944,2024-02-06 11:26:06.017353-06,239518,239518,2603,2655,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,428,199373
1707240366.013610,2612,2681,pg_catalog,pg_language,pg_language_name_index,11,2024-01-16 18:03:14.037609-06,11,11,2612,2681,pg_catalog,pg_language,pg_language_name_index,2,21
1707240366.013610,3381,3997,pg_catalog,pg_statistic_ext,pg_statistic_ext_name_index,0,,0,0,3381,3997,pg_catalog,pg_statistic_ext,pg_statistic_ext_name_index,2,3
1707240366.013610,3381,3379,pg_catalog,pg_statistic_ext,pg_statistic_ext_relid_index,16328,2024-02-06 11:26:06.017353-06,0,0,3381,3379,pg_catalog,pg_statistic_ext,pg_statistic_ext_relid_index,38,32815
1707240366.013610,2618,2693,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,258,2024-02-06 11:26:06.01874-06,262,262,2618,2693,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,5,465
1707240366.013610,2620,2699,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,,0,0,2620,2699,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,10,239
