ctime,checkpoints_timed,checkpoints_req,checkpoint_write_time,checkpoint_sync_time,buffers_checkpoint,buffers_clean,maxwritten_clean,buffers_backend,buffers_backend_fsync,buffers_alloc,stats_reset
1707243188.038376,1000,5,8133548,20717,279850,371835,3257,12317193,0,58591385,2024-01-16 15:04:47.848815-06
1707243248.012481,1001,5,8174071,20741,280192,371883,3257,12317209,0,58624020,2024-01-16 15:04:47.848815-06
1707243307.989691,1001,5,8174071,20741,280192,371887,3257,12317209,0,58636356,2024-01-16 15:04:47.848815-06
1707243367.977275,1001,5,8174071,20741,280192,371913,3257,12317209,0,58710867,2024-01-16 15:04:47.848815-06
1707243428.143235,1001,5,8174071,20741,280192,371941,3257,12317209,0,58762781,2024-01-16 15:04:47.848815-06
1707243488.078920,1001,5,8174071,20741,280192,372061,3257,12317209,0,58826204,2024-01-16 15:04:47.848815-06
1707243548.093380,1001,5,8174071,20741,280192,372140,3257,12317209,0,58850453,2024-01-16 15:04:47.848815-06
1707243608.177350,1001,5,8174071,20741,280192,372225,3257,12317209,0,58866131,2024-01-16 15:04:47.848815-06
1707243668.142783,1001,5,8174071,20741,280192,372314,3257,12317209,0,58894473,2024-01-16 15:04:47.848815-06
1707243728.301278,1001,5,8174071,20741,280192,372407,3257,12317209,0,58909885,2024-01-16 15:04:47.848815-06
1707243788.278015,1001,5,8174071,20741,280192,372480,3257,12317209,0,59000846,2024-01-16 15:04:47.848815-06
1707243848.294185,1001,5,8174071,20741,280192,372510,3257,12317209,0,59061417,2024-01-16 15:04:47.848815-06
1707243908.276620,1001,5,8174071,20741,280192,372629,3257,12317209,0,59092981,2024-01-16 15:04:47.848815-06
1707243968.437340,1001,5,8174071,20741,280192,372753,3257,12317209,0,59143346,2024-01-16 15:04:47.848815-06
