Linux 6.1.12-200.fc37.x86_64 (potassium) 	04/28/2023 	_x86_64_	(1 CPU)

03:07:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:08:34 PM     all      2.94      0.00     12.38      0.02      4.13     80.53
03:09:34 PM     all      1.28      0.00     11.47      0.00      4.05     83.20
03:10:34 PM     all      1.25      0.00     10.82      0.00      3.89     84.05
03:11:34 PM     all      1.35      0.00     10.79      0.03      4.53     83.30
03:12:34 PM     all      1.20      0.00     10.38      0.02      5.96     82.44
03:13:34 PM     all      1.12      0.00     11.00      0.00      4.71     83.18
03:14:34 PM     all      1.13      0.00     11.14      0.02      4.92     82.80
03:15:34 PM     all      1.07      0.00     10.65      0.02      4.94     83.33
03:16:34 PM     all      1.22      0.00     11.37      0.02      4.90     82.50
03:17:34 PM     all      1.20      0.00     11.34      0.00      4.77     82.70
03:18:34 PM     all      1.14      0.00     11.20      0.00      4.05     83.61
03:19:34 PM     all      1.23      0.00     10.89      0.00      3.53     84.34
03:20:34 PM     all      1.25      0.00     10.85      0.00      3.60     84.30
03:21:34 PM     all      1.33      0.00     10.79      0.02      3.46     84.41
03:22:34 PM     all      1.24      0.00     10.16      0.00      3.89     84.71
03:23:34 PM     all      1.14      0.00      9.58      0.00      4.29     84.99
03:24:34 PM     all      1.25      0.00     10.69      0.00      3.40     84.65
03:25:34 PM     all      1.18      0.00     10.23      0.00      3.57     85.01
03:26:34 PM     all      1.38      0.00     10.78      0.02      3.57     84.25
03:27:34 PM     all      1.10      0.00      9.14      0.00      3.33     86.44
03:28:34 PM     all      1.24      0.00     10.14      0.00      3.58     85.03
03:29:34 PM     all      1.33      0.00     10.93      0.00      3.37     84.37
03:30:34 PM     all      1.28      0.00     10.80      0.00      3.50     84.42
03:31:34 PM     all      1.31      0.00     10.86      0.03      3.37     84.42
03:32:34 PM     all      1.23      0.00     10.32      0.00      3.29     85.16
03:33:34 PM     all      1.13      0.00     10.28      0.00      3.86     84.74
03:34:34 PM     all      1.17      0.00      9.90      0.00      4.30     84.63
03:35:34 PM     all      1.23      0.00     10.45      0.00      3.61     84.71
03:36:34 PM     all      1.31      0.00     10.65      0.00      4.02     84.02
03:37:34 PM     all      1.14      0.00     10.77      0.00      5.91     82.18
03:38:34 PM     all      1.13      0.00     11.06      0.00      4.91     82.90
03:39:34 PM     all      1.25      0.00     11.12      0.00      4.67     82.96
03:40:34 PM     all      1.11      0.00     10.74      0.00      4.26     83.89
03:41:34 PM     all      1.13      0.00     10.40      0.05      5.24     83.18
03:42:34 PM     all      1.06      0.00      9.99      0.02      6.91     82.02
03:43:34 PM     all      1.26      0.00     11.40      0.00      5.38     81.96
03:44:34 PM     all      1.24      0.00     11.26      0.00      5.32     82.17
03:45:34 PM     all      1.23      0.00     11.45      0.02      5.55     81.76
03:46:34 PM     all      1.26      0.00     11.13      0.00      5.28     82.33
03:47:34 PM     all      1.21      0.02     11.14      0.00      5.41     82.23
03:48:34 PM     all      1.23      0.00     11.45      0.00      4.95     82.37
03:49:34 PM     all      1.15      0.00     10.96      0.00      6.00     81.89
03:50:34 PM     all      1.23      0.00     10.99      0.00      4.86     82.92
03:51:34 PM     all      1.21      0.00     10.83      0.03      5.36     82.57
03:52:34 PM     all      1.06      0.00     10.60      0.00      6.89     81.44
03:53:34 PM     all      1.09      0.00     10.67      0.00      6.14     82.10
03:54:34 PM     all      1.07      0.00      9.83      0.00      5.04     84.06
03:55:34 PM     all      1.13      0.00     10.30      0.00      4.89     83.67
03:56:34 PM     all      1.20      0.00     10.65      0.02      5.07     83.07
03:57:34 PM     all      1.11      0.00     10.75      0.00      5.76     82.38
03:58:34 PM     all      1.20      0.00     10.84      0.00      4.57     83.39
03:59:34 PM     all      1.21      0.00     10.92      0.00      6.43     81.44
04:00:34 PM     all      1.31      4.92     12.58      0.03      5.08     76.08
04:01:34 PM     all      1.16      0.00     10.82      0.06      5.91     82.06
04:02:34 PM     all      1.26      0.00     10.96      0.00      4.14     83.64
04:03:34 PM     all      1.26      0.00     10.10      0.00      3.53     85.11
04:04:34 PM     all      1.31      0.00     11.02      0.00      3.66     84.01
04:05:34 PM     all      1.18      0.00     10.30      0.03      5.22     83.26
04:06:34 PM     all      1.22      0.00      9.89      0.02      3.93     84.94
04:07:34 PM     all      1.22      0.00     10.44      0.00      4.46     83.89
