stream,query,template,s_time,e_time,elapsed_time,diff_time
4,22,query78.tpl,2024-06-27 05:07:57,2024-06-27 05:08:00,00:00:03.027228,3.027228
4,23,../query_postgresql/query40.tpl,2024-06-27 05:08:00,2024-06-27 05:08:00,00:00:00.066588,0.066588
4,24,query99.tpl,2024-06-27 05:08:00,2024-06-27 05:08:00,00:00:00.404983,0.404983
4,25,query19.tpl,2024-06-27 05:08:00,2024-06-27 05:08:01,00:00:00.227932,0.227932
2,8,query6.tpl,2024-06-27 05:07:17,2024-06-27 05:09:04,00:01:46.796855,106.796855
1,42,query35.tpl,2024-06-27 05:12:55,2024-06-27 05:12:55,00:00:00.551245,0.551245
1,43,query68.tpl,2024-06-27 05:12:55,2024-06-27 05:12:56,00:00:00.267311,0.267311
1,44,query24.tpl,2024-06-27 05:12:56,2024-06-27 05:12:56,00:00:00.021952,0.021952
1,45,query75.tpl,2024-06-27 05:12:56,2024-06-27 05:12:57,00:00:01.646255,1.646255
3,17,query74.tpl,2024-06-27 05:07:31,2024-06-27 05:20:59,00:13:28.331129,808.331129
3,18,query30.tpl,2024-06-27 05:20:59,2024-06-27 05:21:17,00:00:17.268878,17.268878
3,19,query84.tpl,2024-06-27 05:21:17,2024-06-27 05:21:17,00:00:00.085971,0.085971
3,20,query96.tpl,2024-06-27 05:21:17,2024-06-27 05:21:17,00:00:00.324104,0.324104
3,21,../query_postgresql/query14.tpl,2024-06-27 05:21:17,2024-06-27 05:21:46,00:00:29.483698,29.483698
3,22,query10.tpl,2024-06-27 05:21:46,2024-06-27 05:21:55,00:00:08.366448,8.366448
3,23,../query_postgresql/query86.tpl,2024-06-27 05:21:55,2024-06-27 05:21:55,00:00:00.304038,0.304038
3,24,../query_postgresql/query94.tpl,2024-06-27 05:21:55,2024-06-27 05:21:55,00:00:00.143844,0.143844
3,25,query8.tpl,2024-06-27 05:21:55,2024-06-27 05:21:55,00:00:00.126168,0.126168
3,26,query87.tpl,2024-06-27 05:21:55,2024-06-27 05:21:58,00:00:02.224892,2.224892
3,27,query58.tpl,2024-06-27 05:21:58,2024-06-27 05:21:58,00:00:00.078828,0.078828
3,28,../query_variants/query36a.tpl,2024-06-27 05:21:58,2024-06-27 05:21:59,00:00:01.123258,1.123258
3,29,../query_postgresql/query37.tpl,2024-06-27 05:21:59,2024-06-27 05:21:59,00:00:00.010686,0.010686
1,46,query11.tpl,2024-06-27 05:12:57,2024-06-27 05:48:40,00:35:43.086706,2143.086706
3,31,query38.tpl,2024-06-27 06:24:10,2024-06-27 06:24:12,00:00:02.242077,2.242077
3,32,query66.tpl,2024-06-27 06:24:12,2024-06-27 06:24:12,00:00:00.409515,0.409515
4,76,query25.tpl,2024-06-27 06:32:31,2024-06-27 06:32:32,00:00:01.526211,1.526211
4,77,../query_postgresql/query20.tpl,2024-06-27 06:32:32,2024-06-27 06:32:32,00:00:00.050555,0.050555
4,78,query65.tpl,2024-06-27 06:32:32,2024-06-27 06:32:33,00:00:01.083439,1.083439
1,53,query60.tpl,2024-06-27 06:52:01,2024-06-27 06:52:02,00:00:00.376065,0.376065
1,54,query97.tpl,2024-06-27 06:52:02,2024-06-27 06:52:03,00:00:00.980525,0.980525
1,96,query56.tpl,2024-06-27 06:56:32,2024-06-27 06:56:33,00:00:00.582121,0.582121
-1,-1,THROUGHPUT1,2024-06-27 05:07:08,2024-06-27 07:10:41,02:03:32.232196,7412.232196
8,51,query30.tpl,2024-06-27 07:26:28,2024-06-27 07:26:44,00:00:16.107368,16.107368
8,52,../query_postgresql/query94.tpl,2024-06-27 07:26:44,2024-06-27 07:26:44,00:00:00.198929,0.198929
8,53,query97.tpl,2024-06-27 07:26:44,2024-06-27 07:26:45,00:00:00.948027,0.948027
5,71,query96.tpl,2024-06-27 09:03:16,2024-06-27 09:03:16,00:00:00.31811,0.318110
-1,-1,DATAMAINT2,2024-06-27 09:08:22,2024-06-27 09:09:04,00:00:41.520357,41.520357
4,26,query72.tpl,2024-06-27 05:08:01,2024-06-27 05:08:01,00:00:00.483187,0.483187
4,27,query6.tpl,2024-06-27 05:08:01,2024-06-27 05:09:50,00:01:48.626636,108.626636
4,42,query55.tpl,2024-06-27 05:25:23,2024-06-27 05:25:23,00:00:00.047339,0.047339
4,43,query51.tpl,2024-06-27 05:25:23,2024-06-27 05:25:25,00:00:01.429961,1.429961
4,44,query17.tpl,2024-06-27 05:25:25,2024-06-27 05:25:28,00:00:02.712083,2.712083
4,45,query52.tpl,2024-06-27 05:25:28,2024-06-27 05:25:28,00:00:00.195805,0.195805
4,46,query90.tpl,2024-06-27 05:25:28,2024-06-27 05:25:28,00:00:00.018731,0.018731
4,47,query22.tpl,2024-06-27 05:25:28,2024-06-27 05:25:33,00:00:04.888238,4.888238
4,48,query27.tpl,2024-06-27 05:25:33,2024-06-27 05:25:34,00:00:00.876308,0.876308
4,49,query63.tpl,2024-06-27 05:25:34,2024-06-27 05:25:34,00:00:00.193753,0.193753
4,50,query38.tpl,2024-06-27 05:25:34,2024-06-27 05:25:36,00:00:02.234503,2.234503
4,51,query18.tpl,2024-06-27 05:25:36,2024-06-27 05:25:37,00:00:00.720594,0.720594
