ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1653527041.754010,pg_toast,pg_toast_17501,pg_toast_17501_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,24111,21237,21022,2017,51308
1653527041.754010,pg_catalog,pg_type,pg_type_oid_index,90572,90224,90224,1802,185535
1653527041.754010,pg_catalog,pg_type,pg_type_typname_nsp_index,2529,1901,1656,1301,5807
1653527041.754010,pg_toast,pg_toast_17481,pg_toast_17481_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_1247,pg_toast_1247_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_2612,pg_toast_2612_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_2600,pg_toast_2600_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_2619,pg_toast_2619_index,706,1237,1237,378,953
1653527041.754010,pg_toast,pg_toast_3381,pg_toast_3381_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_3429,pg_toast_3429_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_2618,pg_toast_2618_index,518,1813,1813,114,766
1653527041.754010,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_3466,pg_toast_3466_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_2615,pg_toast_2615_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_17506,pg_toast_17506_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_1262,pg_toast_1262_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_1213,pg_toast_1213_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_1260,pg_toast_1260_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_3600,pg_toast_3600_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_3079,pg_toast_3079_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_2328,pg_toast_2328_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_1417,pg_toast_1417_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_1418,pg_toast_1418_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_3118,pg_toast_3118_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_3256,pg_toast_3256_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_6000,pg_toast_6000_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_826,pg_toast_826_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_3394,pg_toast_3394_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_3592,pg_toast_3592_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_3456,pg_toast_3456_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_3350,pg_toast_3350_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_6100,pg_toast_6100_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_authid,pg_authid_oid_index,6874,6874,6874,1310,12438
1653527041.754010,pg_catalog,pg_authid,pg_authid_rolname_index,5583,5583,5583,1323,9843
1653527041.754010,pg_toast,pg_toast_17486,pg_toast_17486_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_statistic_ext_data,pg_statistic_ext_data_stxoid_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_17491,pg_toast_17491_index,0,0,0,0,0
1653527041.754010,pg_toast,pg_toast_17496,pg_toast_17496_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_subscription,pg_subscription_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_subscription,pg_subscription_subname_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,191794,474115,474115,3978,393204
1653527041.754010,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,511,511,511,285,6393
1653527041.754010,pg_catalog,pg_proc,pg_proc_oid_index,32944,32944,32944,4881,65881
1653527041.754010,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,2878,17708,17708,2516,6162
1653527041.754010,pg_catalog,pg_class,pg_class_oid_index,148834,148323,137461,2298,303703
1653527041.754010,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,0,0,0,285,1573
1653527041.754010,pg_catalog,pg_class,pg_class_relname_nsp_index,15408,7966,7685,2310,34118
1653527041.754010,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_constraint,pg_constraint_oid_index,128,64,64,18,302
1653527041.754010,pg_catalog,pg_constraint,pg_constraint_conparentid_index,0,0,0,16,112
1653527041.754010,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,16,112
1653527041.754010,pg_catalog,pg_constraint,pg_constraint_conrelid_contypid_conname_index,528,528,528,385,659
1653527041.754010,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,16,112
1653527041.754010,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,540,0,0,78,1002
1653527041.754010,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_index,pg_index_indexrelid_index,54374,54430,54262,1239,60585
1653527041.754010,pg_catalog,pg_index,pg_index_indrelid_index,10981,31835,31677,1379,13255
1653527041.754010,pg_catalog,pg_operator,pg_operator_oid_index,16947,16947,16947,2429,35273
1653527041.754010,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,12293,116937,116937,3010,25064
1653527041.754010,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_opclass,pg_opclass_oid_index,30341,30341,30341,1313,36011
1653527041.754010,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,9475,405526,405526,1027,10571
1653527041.754010,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_amop,pg_amop_opr_fam_index,21752,74405,74405,2945,45311
1653527041.754010,pg_catalog,pg_amop,pg_amop_fam_strat_index,23137,23137,23137,1552,46657
1653527041.754010,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,31920,79492,79492,2484,68343
1653527041.754010,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,3141,3141,3141,1059,4577
1653527041.754010,pg_catalog,pg_statistic_ext,pg_statistic_ext_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_statistic_ext,pg_statistic_ext_relid_index,6958,0,0,566,13350
1653527041.754010,pg_catalog,pg_statistic_ext,pg_statistic_ext_name_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_rewrite,pg_rewrite_oid_index,186,124,124,117,193
1653527041.754010,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,816,804,742,197,1217
1653527041.754010,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,577,0,0,78,499
1653527041.754010,pg_catalog,pg_description,pg_description_o_c_o_index,996,0,0,234,1931
1653527041.754010,pg_catalog,pg_cast,pg_cast_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_cast,pg_cast_source_target_index,147677,34153,34153,1129,150448
1653527041.754010,pg_catalog,pg_enum,pg_enum_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_namespace,pg_namespace_oid_index,2692,2678,2658,1020,3730
1653527041.754010,pg_catalog,pg_namespace,pg_namespace_nspname_index,11186,6967,6967,1214,15581
1653527041.754010,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_depend,pg_depend_reference_index,6914,6950,6515,1287,16655
1653527041.754010,pg_catalog,pg_depend,pg_depend_depender_index,2175,3434,3364,502,7962
1653527041.754010,pg_catalog,pg_database,pg_database_oid_index,7632,7631,7631,1417,11977
1653527041.754010,pg_catalog,pg_database,pg_database_datname_index,9913,9912,9912,1293,14327
1653527041.754010,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,23044,0,0,542,45546
1653527041.754010,pg_catalog,pg_tablespace,pg_tablespace_oid_index,2927,2927,2927,1446,4408
1653527041.754010,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,0,0,0,25,25
1653527041.754010,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_shdepend,pg_shdepend_reference_index,198,198,198,156,226
1653527041.754010,pg_catalog,pg_shdepend,pg_shdepend_depender_index,997,0,0,156,1015
1653527041.754010,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_ts_config,pg_ts_config_oid_index,2780,2780,2780,928,3242
1653527041.754010,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,2780,2780,2780,928,3242
1653527041.754010,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,0,0,0,0,0
1653527041.754010,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,0,0,0,0,0
