# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgsql1.dbt2.internal;60;1650902719;59302184;65527484;6406100;9.75;0;6225300;27541720;41.92;2870096;3401628;12080
pgsql1.dbt2.internal;60;1650902779;59162720;65523704;6545564;9.96;0;6360984;27544424;41.92;2890148;3517980;12508
pgsql1.dbt2.internal;60;1650902839;59016956;65521052;6691328;10.18;0;6504096;27567860;41.95;2911724;3639568;12868
pgsql1.dbt2.internal;60;1650902899;58647500;65518940;7060784;10.75;0;6871440;25486544;38.79;2936228;3982448;12216
pgsql1.dbt2.internal;60;1650902959;58549148;65516064;7159136;10.90;0;6966916;25716580;39.14;2948444;4065708;9820
