ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1719465128.877194,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465128.877194,4212858,dbt5,0,2709908,4989,1084972869,5879611806,60735837008,7852623073,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465188.875043,0,,0,0,0,221,39481304,17512126,8498991,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465188.875043,5,postgres,0,1418305,0,617,51815054,620516177,9949664,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465188.875043,4263817,dbt7,7,1381112,193,12015639,1800020090,13145008861,834340702,301436714,18859,34231,0,1158,40008582510,0,,,0,0,175298271.693,96393084.019,0,19543,0,0,0,
1719465188.875043,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465188.875043,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465188.875043,4212858,dbt5,0,2710020,4989,1084972869,5879615894,60735898832,7852623857,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465248.887309,0,,0,0,0,221,39484502,17512875,8499712,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465248.887309,5,postgres,0,1418417,0,617,51819142,620565177,9950448,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465248.887309,4263817,dbt7,10,1381259,193,12015639,1800032549,13145081688,834345580,301436714,18859,34231,0,1158,40008582510,0,,,0,0,175298374.808,96393124.625,0,19561,0,0,0,
1719465248.887309,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465248.887309,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
