# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
z15rhel7;60;1707241205;2;0.57;0.00;0.53;32.25;0.33;66.32
z15rhel7;60;1707241205;3;1.40;0.00;1.82;70.21;0.82;25.75
z15rhel7;60;1707241265;-1;9.39;0.00;4.80;22.47;9.90;53.43
z15rhel7;60;1707241265;0;10.71;0.00;5.38;13.70;8.83;61.37
z15rhel7;60;1707241265;1;9.91;0.00;3.68;31.40;12.67;42.34
z15rhel7;60;1707241265;2;7.32;0.00;5.15;30.25;6.58;50.70
z15rhel7;60;1707241265;3;9.63;0.00;4.98;14.53;11.53;59.32
z15rhel7;60;1707241325;-1;7.75;0.00;4.26;27.35;3.99;56.65
z15rhel7;60;1707241325;0;5.16;0.00;3.62;47.17;2.45;41.60
z15rhel7;60;1707241325;1;14.79;0.00;7.52;33.86;6.80;37.03
z15rhel7;60;1707241325;2;6.68;0.00;2.12;22.12;3.32;65.77
z15rhel7;60;1707241325;3;4.37;0.00;3.80;6.28;3.38;82.17
z15rhel7;60;1707241385;-1;6.90;0.00;3.93;30.79;5.74;52.64
z15rhel7;60;1707241385;0;5.22;0.00;4.10;23.33;4.93;62.42
z15rhel7;60;1707241385;1;5.93;0.00;4.23;29.46;5.56;54.82
z15rhel7;60;1707241385;2;7.06;0.00;2.77;22.48;6.76;60.93
z15rhel7;60;1707241385;3;9.38;0.00;4.60;47.90;5.68;32.43
z15rhel7;60;1707241445;-1;4.83;0.00;2.83;39.83;2.57;49.93
z15rhel7;60;1707241445;0;15.25;0.00;6.18;56.73;6.92;14.92
z15rhel7;60;1707241445;1;0.70;0.00;1.22;41.74;0.52;55.83
z15rhel7;60;1707241445;2;0.92;0.00;2.42;39.04;1.50;56.13
z15rhel7;60;1707241445;3;2.43;0.00;1.53;21.83;1.37;72.84
z15rhel7;60;1707241505;-1;9.62;0.00;5.01;14.74;15.16;55.47
z15rhel7;60;1707241505;0;10.41;0.00;4.60;18.97;16.49;49.54
z15rhel7;60;1707241505;1;13.65;0.00;5.40;13.93;17.54;49.48
z15rhel7;60;1707241505;2;7.91;0.00;6.14;13.27;16.69;55.99
z15rhel7;60;1707241505;3;6.51;0.00;3.90;12.79;9.93;66.87
z15rhel7;60;1707241565;-1;4.89;0.00;2.92;35.45;4.76;51.99
z15rhel7;60;1707241565;0;4.47;0.00;4.18;53.01;4.13;34.21
z15rhel7;60;1707241565;1;4.50;0.00;1.77;17.47;4.63;71.63
z15rhel7;60;1707241565;2;5.00;0.00;3.38;35.54;5.56;50.52
z15rhel7;60;1707241565;3;5.58;0.00;2.33;35.79;4.70;51.60
z15rhel7;60;1707241625;-1;10.28;0.00;5.18;20.08;13.43;51.03
z15rhel7;60;1707241625;0;8.80;0.00;5.78;13.49;11.14;60.79
z15rhel7;60;1707241625;1;11.55;0.00;4.67;15.19;13.32;55.28
z15rhel7;60;1707241625;2;5.63;0.00;4.87;20.44;9.52;59.54
z15rhel7;60;1707241625;3;15.15;0.00;5.40;31.18;19.77;28.50
z15rhel7;60;1707241685;-1;5.20;0.00;3.83;38.53;2.60;49.84
z15rhel7;60;1707241685;0;3.13;0.00;2.02;47.22;1.15;46.48
z15rhel7;60;1707241685;1;7.57;0.00;3.88;52.22;2.92;33.41
z15rhel7;60;1707241685;2;9.93;0.00;5.25;46.39;5.05;33.37
z15rhel7;60;1707241685;3;0.18;0.00;4.15;8.30;1.27;86.10
z15rhel7;60;1707241745;-1;6.27;0.00;3.97;34.72;3.07;51.96
z15rhel7;60;1707241745;0;8.03;0.00;4.28;21.12;3.20;63.37
z15rhel7;60;1707241745;1;5.93;0.00;2.98;36.93;2.15;52.00
z15rhel7;60;1707241745;2;10.58;0.00;4.63;53.61;5.42;25.76
z15rhel7;60;1707241745;3;0.53;0.00;3.98;27.21;1.55;66.72
z15rhel7;60;1707241805;-1;3.07;0.00;2.69;40.23;1.75;52.26
z15rhel7;60;1707241805;0;2.30;0.00;3.48;16.40;1.72;76.10
z15rhel7;60;1707241805;1;2.02;0.00;1.92;47.49;1.23;47.34
z15rhel7;60;1707241805;2;3.47;0.00;2.53;76.70;1.63;15.67
z15rhel7;60;1707241805;3;4.50;0.00;2.87;20.33;2.42;69.89
z15rhel7;60;1707241865;-1;3.09;0.00;2.63;41.00;1.40;51.88
z15rhel7;60;1707241865;0;1.10;0.00;2.72;35.28;0.92;59.98
z15rhel7;60;1707241865;1;3.65;0.00;2.23;47.19;1.53;45.39
z15rhel7;60;1707241865;2;6.03;0.00;4.08;24.08;2.57;63.24
z15rhel7;60;1707241865;3;1.55;0.00;1.45;57.47;0.58;38.95
z15rhel7;60;1707241925;-1;6.26;0.00;4.13;34.44;3.54;51.63
z15rhel7;60;1707241925;0;6.82;0.00;4.62;27.52;3.72;57.33
z15rhel7;60;1707241925;1;3.45;0.00;2.03;61.39;1.88;31.24
z15rhel7;60;1707241925;2;8.63;0.00;5.25;33.73;5.40;46.98
z15rhel7;60;1707241925;3;6.13;0.00;4.65;15.14;3.13;70.94
z15rhel7;60;1707241985;-1;6.45;0.00;4.58;31.97;3.94;53.07
z15rhel7;60;1707241985;0;9.62;0.00;5.05;40.38;4.58;40.37
z15rhel7;60;1707241985;1;5.23;0.00;5.62;13.58;3.85;71.72
z15rhel7;60;1707241985;2;9.25;0.00;6.58;59.23;6.32;18.62
z15rhel7;60;1707241985;3;1.68;0.00;1.05;14.68;1.02;81.57
z15rhel7;60;1707242045;-1;6.93;0.00;4.37;34.94;3.68;50.08
z15rhel7;60;1707242045;0;3.80;0.00;3.80;26.02;2.93;63.45
z15rhel7;60;1707242045;1;19.78;0.00;8.60;54.82;8.15;8.65
z15rhel7;60;1707242045;2;3.83;0.00;2.80;57.49;2.63;33.24
z15rhel7;60;1707242045;3;0.32;0.00;2.25;1.43;1.02;94.98
z15rhel7;60;1707242105;-1;3.61;0.00;2.79;38.18;1.92;53.50
z15rhel7;60;1707242105;0;0.83;0.00;3.17;25.95;1.17;68.88
z15rhel7;60;1707242105;1;4.63;0.00;3.07;42.80;2.50;47.00
z15rhel7;60;1707242105;2;5.55;0.00;3.27;56.03;2.70;32.46
z15rhel7;60;1707242105;3;3.45;0.00;1.67;27.93;1.30;65.65
z15rhel7;60;1707242165;-1;5.06;0.00;3.78;36.78;3.14;51.24
z15rhel7;60;1707242165;0;8.77;0.00;5.68;47.11;5.18;33.26
z15rhel7;60;1707242165;1;7.72;0.00;6.08;19.60;4.47;62.13
z15rhel7;60;1707242165;2;1.40;0.00;2.18;58.98;1.68;35.76
z15rhel7;60;1707242165;3;2.33;0.00;1.13;21.44;1.23;73.86
z15rhel7;60;1707242225;-1;2.19;0.00;2.08;43.59;1.18;50.96
z15rhel7;60;1707242225;0;5.61;0.00;3.76;40.19;2.80;47.64
z15rhel7;60;1707242225;1;1.17;0.00;2.12;39.42;0.88;56.41
z15rhel7;60;1707242225;2;1.23;0.00;1.23;45.16;0.47;51.91
