# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgsql1.dbt3.internal;60;1654125806;37213704;64812600;28494584;43.37;0;27598896;15300212;23.29;15944688;11711056;769916
pgsql1.dbt3.internal;60;1654125866;37648608;64825244;28059680;42.70;0;27176636;15309084;23.30;17756932;9476744;337604
pgsql1.dbt3.internal;60;1654125926;37728472;64816936;27979816;42.58;0;27088464;15289844;23.27;18431864;8723780;263688
