# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
potassium;60;1682721334;enp1s0;1565.88;1580.72;8300.34;8301.52;0.00;0.00;0.00;0.00
potassium;60;1682721394;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682721394;enp1s0;1597.95;1612.02;8487.83;8488.34;0.00;0.00;0.00;0.00
potassium;60;1682721454;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682721454;enp1s0;1293.20;1305.02;6618.65;6618.63;0.00;0.00;0.00;0.00
potassium;60;1682721514;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682721514;enp1s0;1369.75;1385.53;7116.76;7117.57;0.00;0.00;0.00;0.00
potassium;60;1682721574;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682721574;enp1s0;1399.53;1414.63;7300.17;7300.72;0.00;0.00;0.00;0.00
potassium;60;1682721634;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682721634;enp1s0;1334.22;1345.95;6967.71;6968.35;0.00;0.00;0.00;0.00
potassium;60;1682721694;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682721694;enp1s0;1304.13;1314.45;6719.89;6720.07;0.00;0.00;0.00;0.00
potassium;60;1682721754;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682721754;enp1s0;1167.40;1168.72;5870.79;5868.76;0.00;0.00;0.00;0.00
potassium;60;1682721814;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682721814;enp1s0;1385.70;1388.15;7167.53;7166.70;0.00;0.00;0.00;0.00
potassium;60;1682721874;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682721874;enp1s0;1409.15;1414.75;7324.88;7324.87;0.00;0.00;0.00;0.00
potassium;60;1682721934;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682721934;enp1s0;1408.48;1410.87;7294.75;7294.42;0.00;0.00;0.00;0.00
potassium;60;1682721994;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682721994;enp1s0;1387.73;1390.98;7177.19;7176.94;0.00;0.00;0.00;0.00
potassium;60;1682722054;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722054;enp1s0;1402.00;1403.95;7275.61;7274.43;0.00;0.00;0.00;0.00
potassium;60;1682722114;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722114;enp1s0;1419.77;1421.38;7390.55;7390.45;0.00;0.00;0.00;0.00
potassium;60;1682722174;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722174;enp1s0;1311.57;1309.53;6710.92;6708.77;0.00;0.00;0.00;0.00
potassium;60;1682722234;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722234;enp1s0;1366.90;1366.02;7100.42;7100.00;0.00;0.00;0.00;0.00
potassium;60;1682722294;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722294;enp1s0;1348.18;1347.23;6984.74;6984.18;0.00;0.00;0.00;0.00
potassium;60;1682722354;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722354;enp1s0;1244.35;1235.95;6302.40;6299.28;0.00;0.00;0.00;0.00
potassium;60;1682722414;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722414;enp1s0;1264.28;1259.17;6430.99;6429.17;0.00;0.00;0.00;0.00
potassium;60;1682722474;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722474;enp1s0;1198.45;1195.02;6129.87;6129.39;0.00;0.00;0.00;0.00
potassium;60;1682722534;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722534;enp1s0;1301.50;1295.32;6699.33;6698.30;0.00;0.00;0.00;0.00
potassium;60;1682722594;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722594;enp1s0;1328.82;1325.05;6903.13;6902.27;0.00;0.00;0.00;0.00
potassium;60;1682722654;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722654;enp1s0;1336.83;1330.05;6885.11;6884.43;0.00;0.00;0.00;0.00
potassium;60;1682722714;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722714;enp1s0;1374.37;1371.98;7174.82;7174.49;0.00;0.00;0.00;0.00
potassium;60;1682722774;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722774;enp1s0;1327.40;1321.60;6805.78;6804.37;0.00;0.00;0.00;0.00
potassium;60;1682722834;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722834;enp1s0;1451.55;1447.07;7536.37;7533.06;0.00;0.00;0.00;0.00
potassium;60;1682722894;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722894;enp1s0;1315.12;1306.22;6745.20;6743.20;0.00;0.00;0.00;0.00
potassium;60;1682722954;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682722954;enp1s0;1451.97;1446.25;7581.40;7580.58;0.00;0.00;0.00;0.00
potassium;60;1682723014;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682723014;enp1s0;1526.07;1523.50;8087.44;8086.98;0.00;0.00;0.00;0.00
potassium;60;1682723074;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682723074;enp1s0;1633.45;1631.10;8711.65;8711.53;0.00;0.00;0.00;0.00
potassium;60;1682723134;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682723134;enp1s0;1480.48;1473.93;7742.48;7741.40;0.00;0.00;0.00;0.00
potassium;60;1682723194;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682723194;enp1s0;1457.78;1455.48;7685.79;7685.33;0.00;0.00;0.00;0.00
potassium;60;1682723254;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1682723254;enp1s0;1436.02;1431.88;7505.50;7504.91;0.00;0.00;0.00;0.00
