Linux 5.15.41-gentoo-x86_64-zbkstdxg5 (pgsql1.dbt2.internal) 	05/27/2022 	_x86_64_	(6 CPU)

04:11:51 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:12:51 PM     all     69.90      0.00      3.70      0.00      0.00     26.40
04:13:51 PM     all     71.30      0.00      4.46      0.00      0.00     24.24
04:14:51 PM     all     71.43      0.00      5.25      0.00      0.00     23.32
04:15:51 PM     all     62.91      0.00      5.81      0.00      0.00     31.28
04:16:51 PM     all     67.43      0.00      5.41      0.00      0.00     27.16
04:17:51 PM     all     60.89      0.00      6.35      0.00      0.00     32.76
04:18:51 PM     all     67.45      0.00      8.89      0.00      0.00     23.66
04:19:51 PM     all     66.92      0.00      7.53      0.00      0.00     25.55
04:20:51 PM     all     22.03      0.00      6.25      0.00      0.00     71.72
