# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
pgsql1.dbt2.internal;60;1650892623;18180.20;23269.07;15661.80;3.38;9833.10;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650892683;6579.27;29097.40;8058.85;0.00;11658.63;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650892743;4763.13;26531.07;5324.22;0.00;8865.10;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650892803;5702.00;27222.00;4896.32;0.00;8416.40;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650892863;1644.20;27836.80;4753.50;0.10;8422.77;0.00;0.00;0.00;0.00
