1707240366,11,0,0.199,27538
1707240366,10,0,0.328,27538
1707240426,10,0,0.148,27538
1707240486,10,0,0.023,27538
1707240546,10,0,0.034,27538
1707240607,10,0,0.039,27538
1707240666,10,0,0.242,27538
1707240726,10,0,0.106,27538
1707240786,10,0,0.331,27538
1707240847,10,0,0.377,27538
1707240906,10,0,0.017,27538
1707240966,10,0,0.158,27538
1707241026,10,0,0.4,27538
1707241086,10,0,0.018,27538
1707241146,10,0,0.115,27538
1707241207,10,0,0.064,27538
1707241266,10,0,0.142,27538
1707241326,10,0,0.076,27538
1707241386,10,0,0.009,27538
1707241446,10,0,0.012,27538
1707241506,10,0,0.156,27538
1707241566,10,0,0.1,27538
1707241626,10,0,0.012,27538
1707241686,10,0,0.039,27538
1707241746,10,0,0.072,27538
1707241806,10,0,0.026,27538
1707241866,10,0,0.118,27538
1707241926,10,0,0.043,27538
1707241986,10,0,0.014,27538
1707242047,10,0,0.051,27538
1707242106,10,0,0.077,27538
1707242166,10,0,0.008,27538
1707242226,10,0,0.07,27538
1707242286,10,0,0.025,27538
1707242346,10,0,0.035,27538
1707242406,10,0,0.007,27538
1707242466,10,0,0.078,27538
1707242526,10,0,0.023,27538
1707242586,10,0,0.046,27538
1707242646,10,0,0.042,27538
1707242706,10,0,0.031,27538
1707242766,10,0,0.042,27538
1707242827,10,0,0.886,27538
1707242886,10,0,0.019,27538
1707242946,10,0,0.054,27538
1707243006,10,0,0.025,27538
1707243066,10,0,0.004,27538
1707243126,10,0,0.017,27538
1707243186,10,0,0.133,27538
1707243246,10,0,0.004,27538
1707243306,10,0,0.099,27538
1707243366,10,0,0.017,27538
1707243427,10,0,0.081,27538
1707243486,10,0,0.036,27538
1707243546,10,0,0.029,27538
1707243606,10,0,0.047,27538
1707243666,10,0,0.022,27538
1707243726,10,0,0.088,27538
1707243786,10,0,0.013,27538
1707243846,10,0,0.003,27538
1707243906,10,0,0.068,27538
1707243966,10,0,0.044,27538
1707244026,10,0,0.028,27538
1707244026,STOP,,,27538
