ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1719457843.459950,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457843.459950,4212858,dbt5,0,2696346,4989,1084972869,5879116793,60728350784,7852528139,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719457903.468668,0,,0,0,0,221,39087569,17419244,8410140,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457903.468668,5,postgres,0,1404743,0,617,51320041,614582802,9854730,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719457903.468668,4263817,dbt7,4,1360948,191,11982540,1430853660,10428393382,714439797,301436495,18598,34231,0,1042,35673005986,0,,,0,0,167235149.282,88344667.415,0,17454,0,0,0,
1719457903.468668,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457903.468668,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457903.468668,4212858,dbt5,0,2696456,4989,1084972869,5879120808,60728411504,7852528909,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719457963.481485,0,,0,0,0,221,39090783,17420020,8410865,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457963.481485,5,postgres,0,1404855,0,617,51324129,614631802,9855514,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719457963.481485,4263817,dbt7,6,1361098,191,11982540,1430867083,10428465693,714445285,301436495,18598,34231,0,1042,35673005986,0,,,0,0,167235267.986,88344715.629,0,17474,0,0,0,
1719457963.481485,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457963.481485,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719457963.481485,4212858,dbt5,0,2696568,4989,1084972869,5879124896,60728473328,7852529693,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719458023.492762,0,,0,0,0,221,39093955,17420775,8411582,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458023.492762,5,postgres,0,1404965,0,617,51328144,614679927,9856284,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719458023.492762,4263817,dbt7,4,1361246,191,11982540,1430881298,10428537450,714451349,301436495,18598,34231,0,1042,35673005986,0,,,0,0,167235386.951,88344771.123,0,17492,0,0,0,
1719458023.492762,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458023.492762,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458023.492762,4212858,dbt5,0,2696678,4989,1084972869,5879128911,60728534048,7852530463,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719458083.502544,0,,0,0,0,221,39097037,17421479,8412276,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458083.502544,5,postgres,0,1405077,0,617,51332232,614728927,9857068,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719458083.502544,4263817,dbt7,5,1361385,191,11982540,1430892569,10428608381,714455465,301436495,18598,34231,0,1042,35673005986,0,,,0,0,167235468.195,88344803.884,0,17506,0,0,0,
1719458083.502544,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458083.502544,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458083.502544,4212858,dbt5,0,2696790,4989,1084972869,5879132999,60728595872,7852531247,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719458143.511408,0,,0,0,0,221,39100202,17422226,8412990,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458143.511408,5,postgres,0,1405189,0,617,51336320,614777927,9857852,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719458143.511408,4263817,dbt7,5,1361531,191,11982540,1430905540,10428680421,714460685,301436495,18598,34231,0,1042,35673005986,0,,,0,0,167235574.123,88344849.469,0,17523,0,0,0,
1719458143.511408,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458143.511408,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458143.511408,4212858,dbt5,0,2696902,4989,1084972869,5879137087,60728657696,7852532031,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719458203.523725,0,,0,0,0,221,39103389,17422978,8413709,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458203.523725,5,postgres,0,1405301,0,617,51340408,614826927,9858636,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719458203.523725,4263817,dbt7,6,1361678,191,11982540,1430918530,10428752476,714465919,301436495,18598,34231,0,1042,35673005986,0,,,0,0,167235683.643,88344895.296,0,17541,0,0,0,
1719458203.523725,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458203.523725,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458203.523725,4212858,dbt5,0,2697014,4989,1084972869,5879141175,60728719520,7852532815,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719458263.533651,0,,0,0,0,221,39106571,17423729,8414427,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458263.533651,5,postgres,0,1405413,0,617,51344496,614875927,9859420,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
