ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1719457543.406902,4149,pg_toast,pg_toast_2328,0,0,0,0,,,,,4149,pg_toast,pg_toast_2328,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4151,pg_toast,pg_toast_1417,0,0,0,0,,,,,4151,pg_toast,pg_toast_1417,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4173,pg_toast,pg_toast_1418,0,0,0,0,,,,,4173,pg_toast,pg_toast_1418,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4153,pg_toast,pg_toast_3118,0,0,0,0,,,,,4153,pg_toast,pg_toast_3118,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4167,pg_toast,pg_toast_3256,0,0,0,0,,,,,4167,pg_toast,pg_toast_3256,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4181,pg_toast,pg_toast_6000,0,0,1,0,,,,,4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.862752+00,,,,1,0,0,0
1719457543.406902,4143,pg_toast,pg_toast_826,0,0,0,0,,,,,4143,pg_toast,pg_toast_826,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4155,pg_toast,pg_toast_3394,0,0,0,0,,,,,4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,3598,pg_toast,pg_toast_3596,0,0,0,0,,,,,3598,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4060,pg_toast,pg_toast_3592,0,0,1,0,,,,,4060,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.863585+00,,,,1,0,0,0
1719457543.406902,6175,pg_toast,pg_toast_3456,0,0,0,0,,,,,6175,pg_toast,pg_toast_3456,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,6244,pg_toast,pg_toast_6243,0,0,1,0,,,,,6244,pg_toast,pg_toast_6243,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.864161+00,,,,1,0,0,0
1719457543.406902,4165,pg_toast,pg_toast_3350,0,0,0,0,,,,,4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,6228,pg_toast,pg_toast_6106,0,0,0,0,,,,,6228,pg_toast,pg_toast_6106,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4183,pg_toast,pg_toast_6100,0,0,1,0,,,,,4183,pg_toast,pg_toast_6100,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.862487+00,,,,1,0,0,0
1719457543.406902,1260,pg_catalog,pg_authid,15,423500,42,837108,0,0,1,0,1260,pg_catalog,pg_authid,4894,61558,418574,418574,0,0,0,0,13,0,0,0,2024-06-14 00:25:46.798184+00,,2024-06-27 03:05:36.655002+00,,1,0,20,0
1719457543.406902,4268137,pg_toast,pg_toast_4268134,0,0,0,0,,,,,4268137,pg_toast,pg_toast_4268134,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,4268145,pg_toast,pg_toast_4268142,0,0,0,0,,,,,4268145,pg_toast,pg_toast_4268142,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457543.406902,3429,pg_catalog,pg_statistic_ext_data,0,0,0,0,0,0,0,0,3429,pg_catalog,pg_statistic_ext_data,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-27 03:05:36.655854+00,,0,0,19,0
1719457543.406902,4268108,public,store_sales,245938,342268,2589,68,,,,,4268108,public,store_sales,6,5755856,53,50,2877928,0,0,0,2877956,0,0,0,,2024-06-27 03:05:15.740001+00,2024-06-27 03:05:36.977386+00,2024-06-27 03:05:16.058807+00,0,1,1,1
1719457543.406902,4268162,public,date_dim,1409,11293,227,58,,,,,4268162,public,date_dim,2,146098,51,50,73049,0,0,0,73049,0,0,0,,2024-06-27 03:05:31.082483+00,2024-06-27 03:05:37.232164+00,2024-06-27 03:05:31.336343+00,0,1,1,1
1719457543.406902,1418,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,1418,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-27 03:05:37.232393+00,,0,0,19,0
1719457543.406902,6100,pg_catalog,pg_subscription,0,0,10,2344,0,0,1,0,6100,pg_catalog,pg_subscription,4285,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.86213+00,,2024-06-27 03:05:37.232576+00,,1,0,20,0
1719457543.406902,1249,pg_catalog,pg_attribute,161,3231899,95,7058943,,,,,1249,pg_catalog,pg_attribute,1618,7812,3151730,6110427,18142,0,17223,0,3973,0,0,101,,2024-06-27 03:05:06.033892+00,2024-06-27 03:05:37.242502+00,2024-06-27 03:05:06.044298+00,0,19,19,29
1719457543.406902,1255,pg_catalog,pg_proc,263,153170,31,270015,0,0,0,0,1255,pg_catalog,pg_proc,0,0,121983,173333,0,0,0,0,3244,0,0,0,,,2024-06-27 03:05:37.255484+00,,0,0,19,0
1719457543.406902,1259,pg_catalog,pg_class,44,37762195,16,4834862,,,,,1259,pg_catalog,pg_class,1969662,736900515,2048120,1947992,2545,1163,2413,971,542,16,3,86,,2024-06-27 03:05:07.029953+00,2024-06-27 03:05:37.257832+00,2024-06-27 03:05:32.384181+00,0,18,19,35
1719457543.406902,2604,pg_catalog,pg_attrdef,0,0,2,158,0,0,0,0,2604,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-27 03:05:37.258036+00,,0,0,19,0
