ctime,checkpoints_timed,checkpoints_req,checkpoint_write_time,checkpoint_sync_time,buffers_checkpoint,buffers_clean,maxwritten_clean,buffers_backend,buffers_backend_fsync,buffers_alloc,stats_reset
1719460303.899217,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719460363.910580,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719460423.922845,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719460483.929601,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719460543.938621,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719460603.953544,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719460663.959594,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719460723.966025,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719460783.979310,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719460843.990806,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719460903.999479,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719460964.011048,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719461024.019324,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719461084.033412,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719461144.045655,417,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719461204.059579,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719461264.067765,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719461324.077220,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719461384.090127,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719461444.101998,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719461504.112097,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756463580,2024-06-13 18:53:49.178489+00
1719461564.117204,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466039,2024-06-13 18:53:49.178489+00
1719461624.130050,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466039,2024-06-13 18:53:49.178489+00
1719461684.140012,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719461744.149701,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719461804.159493,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719461864.169984,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719461924.183384,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
