# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
lithium;60;1682725243;136.87;40352.93;2064.68;0.00;2312.42;0.00;0.00;0.00;0.00
lithium;60;1682725303;117.87;44511.73;433.33;0.00;1329.68;0.00;0.00;0.00;0.00
lithium;60;1682725363;130.13;40351.20;386.47;0.00;1311.22;0.00;0.00;0.00;0.00
lithium;60;1682725423;111.80;40086.73;516.08;0.00;1400.42;0.00;0.00;0.00;0.00
lithium;60;1682725483;113.40;43473.40;534.47;0.00;1578.38;0.00;0.00;0.00;0.00
lithium;60;1682725543;104.73;41453.87;536.37;0.00;1460.93;0.00;0.00;0.00;0.00
lithium;60;1682725603;127.13;46240.40;516.07;0.00;1559.12;0.00;0.00;0.00;0.00
lithium;60;1682725663;135.67;40208.47;539.05;0.00;1600.78;0.00;0.00;0.00;0.00
lithium;60;1682725723;125.53;42360.73;519.20;0.00;1484.52;0.00;0.00;0.00;0.00
lithium;60;1682725783;93.40;45795.13;538.22;0.00;1616.55;0.00;0.00;0.00;0.00
lithium;60;1682725843;130.20;44752.67;522.00;0.00;1572.73;0.00;0.00;0.00;0.00
lithium;60;1682725903;126.40;51648.60;514.98;0.00;2027.52;237.45;0.00;474.90;200.00
lithium;60;1682725963;574.13;42432.13;650.20;0.00;1644.07;0.00;0.00;0.00;0.00
lithium;60;1682726023;63.80;42209.47;514.30;0.00;1578.87;117.63;0.00;235.27;200.00
lithium;60;1682726083;102.93;43911.67;536.85;0.00;1687.77;65.83;0.00;131.67;200.00
lithium;60;1682726143;141.87;45084.80;515.93;0.00;1653.62;33.35;0.00;66.70;200.00
lithium;60;1682726203;2042.40;47484.80;683.48;0.00;2561.22;735.77;0.00;1471.53;200.00
lithium;60;1682726263;177.87;41452.60;515.52;0.00;1558.50;14.93;0.00;29.87;200.00
lithium;60;1682726323;140.13;50487.60;602.15;0.00;1895.37;94.93;0.00;189.87;200.00
lithium;60;1682726383;133.60;47811.73;539.95;0.00;1896.92;108.80;0.00;217.60;200.00
lithium;60;1682726443;168.73;41833.87;522.97;0.00;1777.12;47.32;0.00;94.63;200.00
lithium;60;1682726503;113.67;40587.87;600.07;0.00;1553.83;108.80;0.00;217.60;200.00
lithium;60;1682726563;128.13;43554.13;431.00;0.00;1591.32;108.80;0.00;217.60;200.00
lithium;60;1682726623;173.87;45719.27;517.32;0.00;1707.52;108.80;0.00;217.60;200.00
lithium;60;1682726683;152.80;43025.87;535.45;0.00;1647.12;46.93;0.00;93.87;200.00
lithium;60;1682726743;117.13;42229.33;346.03;0.00;1472.98;155.73;0.00;311.47;200.00
lithium;60;1682726803;116.47;40637.53;513.20;0.00;1462.73;0.00;0.00;0.00;0.00
lithium;60;1682726863;106.27;43289.73;515.82;0.00;1633.95;93.87;0.00;187.73;200.00
lithium;60;1682726923;162.93;50899.13;515.08;0.00;1816.53;46.93;0.00;93.87;200.00
