Linux 6.1.12-200.fc37.x86_64 (lithium) 	04/28/2023 	_x86_64_	(4 CPU)

04:39:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:40:43 PM     all      6.29      0.00      9.26     11.23      0.80     72.42
04:41:43 PM     all      5.98      0.00      8.97     11.52      0.82     72.71
04:42:43 PM     all      6.16      0.00      9.79     11.22      0.56     72.27
04:43:43 PM     all      6.01      0.00      9.68     11.55      0.50     72.26
04:44:43 PM     all      5.96      0.00      9.57     11.54      0.63     72.30
04:45:43 PM     all      6.04      0.00      9.79     11.39      0.63     72.15
04:46:43 PM     all      5.99      0.00      9.72     11.49      0.90     71.89
04:47:43 PM     all      6.09      0.00      9.77     11.56      0.69     71.88
04:48:43 PM     all      5.96      0.00      9.91     11.77      0.66     71.70
04:49:43 PM     all      5.93      0.00      9.87     11.48      0.63     72.09
04:50:43 PM     all      6.01      0.00      9.85     11.68      0.73     71.73
04:51:43 PM     all      5.86      0.00      9.77     12.04      1.03     71.30
04:52:43 PM     all      6.62      0.00      9.81     11.24      0.61     71.72
04:53:43 PM     all      6.05      0.00      9.84     11.52      0.79     71.81
04:54:43 PM     all      6.02      0.00      9.88     11.46      0.60     72.04
04:55:43 PM     all      5.94      0.00      9.87     11.62      0.92     71.65
04:56:43 PM     all      7.01      0.00     10.22     11.72      1.09     69.96
04:57:43 PM     all      5.88      0.00      9.91     11.48      1.06     71.66
04:58:43 PM     all      5.87      0.00      9.53     11.75      1.02     71.83
04:59:43 PM     all      5.94      0.00      9.85     11.66      0.94     71.60
05:00:43 PM     all      5.96      0.00      9.83     11.80      0.99     71.43
05:01:43 PM     all      6.11      0.00      9.76     11.34      0.57     72.22
05:02:43 PM     all      5.94      0.00      9.82     11.47      0.68     72.09
05:03:43 PM     all      5.94      0.00      9.65     11.52      0.87     72.01
05:04:43 PM     all      6.00      0.00     10.06     11.49      0.80     71.65
05:05:43 PM     all      6.01      0.00      9.88     11.25      0.65     72.21
05:06:43 PM     all      5.98      0.00     10.09     11.34      0.67     71.91
05:07:43 PM     all      5.98      0.00     10.00     11.61      0.70     71.71
05:08:43 PM     all      5.89      0.00      9.98     11.74      1.04     71.35
05:09:43 PM     all      6.04      0.00     10.24     11.43      0.68     71.61
05:10:43 PM     all      6.00      0.00      9.66     11.27      0.62     72.45
05:11:43 PM     all      5.86      0.00     10.09     11.74      0.84     71.47
05:12:43 PM     all      6.12      0.00      9.89     11.51      0.58     71.90
05:13:43 PM     all      6.10      0.00      9.79     11.23      0.74     72.15
05:14:43 PM     all      6.02      0.00     10.07     11.57      0.70     71.64
05:15:43 PM     all      5.89      0.00      9.83     11.60      0.94     71.74
05:16:43 PM     all      6.06      0.00      9.95     11.41      0.67     71.91
05:17:43 PM     all      6.04      0.00      9.91     11.32      0.67     72.05
05:18:43 PM     all      5.98      0.00     10.09     12.10      1.19     70.64
05:19:43 PM     all      5.90      0.00     10.12     11.75      0.75     71.48
05:20:43 PM     all      6.56      0.00     10.49     11.38      0.84     70.73
05:21:43 PM     all      5.98      0.00     10.03     11.52      0.99     71.49
05:22:43 PM     all      5.98      0.00     10.23     11.70      0.74     71.35
05:23:43 PM     all      6.03      0.00      9.91     11.41      0.71     71.95
05:24:43 PM     all      6.04      0.00     10.29     11.43      0.65     71.58
05:25:43 PM     all      6.10      0.00      9.83     11.38      0.66     72.03
05:26:43 PM     all      5.86      0.00     10.20     11.93      1.06     70.96
05:27:43 PM     all      5.83      0.00     11.76     14.23      1.10     67.08
05:28:43 PM     all      6.24      0.13     12.80     13.25      1.09     66.49
05:29:43 PM     all      6.13      0.00      9.97     11.27      0.66     71.97
05:30:43 PM     all      6.03      0.00      9.62     11.33      0.68     72.36
05:31:43 PM     all      5.93      0.00     10.27     11.61      0.84     71.35
05:32:43 PM     all      6.06      0.00      9.59     11.25      0.67     72.42
05:33:43 PM     all      5.96      0.00     10.02     11.33      0.84     71.84
05:34:43 PM     all      5.90      0.00     10.14     11.74      1.43     70.79
05:35:43 PM     all      5.86      0.00     10.13     11.62      0.90     71.50
05:36:43 PM     all      6.09      0.00     10.20     11.19      0.55     71.96
05:37:43 PM     all      5.90      0.00     10.11     11.87      1.00     71.12
05:38:43 PM     all      5.92      0.00     10.03     11.60      1.08     71.38
05:39:43 PM     all      5.94      0.00      9.90     11.51      1.19     71.46
