# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
lithium;60;1683036457;11157612;15498368;272232;1.66;3332;4772944;891564;3.60;693976;4221156;36164
lithium;60;1683036517;10615012;15487076;270336;1.65;3332;5304104;892584;3.60;694276;4752404;144040
lithium;60;1683036577;10079620;15475704;276876;1.69;3332;5828328;893472;3.61;694300;5276616;193332
lithium;60;1683036637;9791204;15472824;274420;1.68;3332;6114568;894572;3.61;694304;5562864;219012
lithium;60;1683036697;9555108;15462372;279596;1.71;3332;6340900;905856;3.66;704428;5789144;191632
lithium;60;1683036757;9335120;15442724;296676;1.81;3332;6541812;906940;3.66;704476;5990096;229376
lithium;60;1683036817;9188604;15473068;262472;1.60;3332;6719472;897756;3.62;694372;6167744;208504
lithium;60;1683036877;9031604;15462540;270280;1.65;3332;6866776;898780;3.63;694380;6314996;162068
lithium;60;1683036937;8549044;15448880;276536;1.69;3332;7334328;899796;3.63;694408;6782604;62016
lithium;60;1683036997;7525200;15444128;274228;1.67;3332;8353872;971796;3.92;709676;7802144;195636
lithium;60;1683037057;7428168;15438788;279252;1.70;3332;8446376;901768;3.64;694424;7894648;176348
lithium;60;1683037117;7307508;15453840;259528;1.58;3332;8582952;902804;3.65;694444;8031220;153304
lithium;60;1683037177;7182524;15422228;288492;1.76;3332;8677304;914112;3.69;704544;8125572;89776
lithium;60;1683037237;7103984;15425336;279328;1.71;3332;8759900;915284;3.70;704560;8208160;43128
lithium;60;1683037297;7018480;15418992;282284;1.72;3332;8839968;916304;3.70;704564;8288220;69916
lithium;60;1683037357;6929804;15425412;273644;1.67;3332;8936072;917384;3.70;704556;8384316;153636
lithium;60;1683037417;6828792;15428816;265136;1.62;3332;9041380;908280;3.67;694440;8489632;137936
lithium;60;1683037477;6587748;15404788;289208;1.77;3332;9259132;909340;3.67;694440;8707388;112320
lithium;60;1683037537;6492060;15399228;291256;1.78;3332;9350248;920680;3.72;704560;8798496;184400
lithium;60;1683037597;6425272;15409884;276140;1.69;3332;9428640;911508;3.68;694448;8876892;173544
lithium;60;1683037657;5944284;15395540;286936;1.75;3332;9894676;912884;3.69;694588;9342920;247528
lithium;60;1683037717;5869668;15405740;274440;1.68;3332;9980388;913932;3.69;694588;9428640;182808
lithium;60;1683037777;5782392;15403264;273320;1.67;3332;10066108;914976;3.69;694588;9514360;215448
lithium;60;1683037837;5700960;15396084;280188;1.71;3332;10141424;916048;3.70;694592;9589616;206272
lithium;60;1683037897;5627688;15400964;273512;1.67;3332;10220532;927388;3.74;704704;9668776;139460
lithium;60;1683037957;5541924;15391844;279536;1.71;3332;10298156;928448;3.75;704716;9746396;102400
lithium;60;1683038017;5408748;15375644;291880;1.78;3332;10415992;999100;4.03;718560;9864240;70400
lithium;60;1683038077;5218460;15382264;281424;1.72;3332;10613876;930452;3.76;704724;10062116;191860
lithium;60;1683038137;5149096;15390220;273896;1.67;3332;10692156;921312;3.72;694628;10140396;206348
lithium;60;1683038197;5068892;15384044;273872;1.67;3332;10767240;932636;3.77;704736;10215472;186556
lithium;60;1683038257;4995596;15376156;281860;1.72;3332;10833504;933604;3.77;704736;10281728;154096
lithium;60;1683038317;4943996;15389624;263900;1.61;3332;10899532;934688;3.77;704740;10347764;91748
lithium;60;1683038377;4862768;15371136;284272;1.74;3332;10963284;935768;3.78;704740;10411524;196032
lithium;60;1683038437;4803368;15374008;279828;1.71;3332;11026532;926612;3.74;694632;10474772;220656
lithium;60;1683038497;4740328;15377256;273908;1.67;3332;11093788;927648;3.75;694636;10542024;235016
lithium;60;1683038557;4674788;15377588;271616;1.66;3332;11160616;928680;3.75;694628;10608852;155012
lithium;60;1683038617;4452080;15376176;270960;1.65;3332;11382944;929760;3.75;694628;10831180;177036
lithium;60;1683038677;4394236;15382504;261336;1.60;3332;11448076;930816;3.76;694628;10896304;161060
lithium;60;1683038737;4315580;15363256;280852;1.71;3332;11508412;931744;3.76;694636;10956632;82236
lithium;60;1683038797;3996624;15373928;261900;1.60;3332;11838124;932708;3.77;702676;11278376;165448
lithium;60;1683038857;3903512;15345360;288300;1.76;3332;11903700;944040;3.81;712804;11343944;226068
lithium;60;1683038917;3635928;15376088;256852;1.57;3332;12202908;934764;3.77;702720;11643164;224976
lithium;60;1683038977;3561460;15356684;275468;1.68;3332;12258860;935648;3.78;702720;11699108;264604
lithium;60;1683039037;3510804;15364588;265684;1.62;3332;12318416;946952;3.82;712832;11758648;263104
lithium;60;1683039097;3400280;15330048;294476;1.80;3332;12395284;1017612;4.11;727092;11835540;160776
lithium;60;1683039157;3365712;15346232;279264;1.70;3332;12446880;948820;3.83;712856;11887136;159572
lithium;60;1683039217;3196716;15341324;286472;1.75;3332;12611860;949716;3.83;712860;12052100;150292
lithium;60;1683039277;3136460;15346052;279512;1.71;3332;12677772;950740;3.84;712864;12118016;51488
lithium;60;1683039337;3045196;15320032;299540;1.83;3332;12744076;951844;3.84;712868;12184328;109736
lithium;60;1683039397;2993676;15335040;282696;1.73;3332;12811584;952828;3.85;712864;12251820;183280
lithium;60;1683039457;2955836;15334228;282160;1.72;3332;12849440;953772;3.85;712856;12289692;151436
lithium;60;1683039517;2895688;15328376;286328;1.75;3332;12904640;954720;3.85;712860;12344892;199268
lithium;60;1683039577;2850332;15330592;282292;1.72;3332;12953148;955708;3.86;712864;12393400;228472
lithium;60;1683039637;2819680;15349332;261860;1.60;3332;13003376;946372;3.82;702756;12443628;131024
lithium;60;1683039697;2757732;15332288;277552;1.69;3332;13049212;947384;3.83;702760;12489464;260196
lithium;60;1683039757;2626688;15339892;268768;1.64;3332;13188768;948296;3.83;702768;12629016;245384
lithium;60;1683039817;2578980;15325480;281480;1.72;3332;13222852;959436;3.87;712880;12663100;66288
lithium;60;1683039877;1972540;15306304;288752;1.76;3332;13805988;960448;3.88;712900;13246232;224548
lithium;60;1683039937;1821176;15298332;295412;1.80;3332;13950308;961448;3.88;712900;13390552;215836
lithium;60;1683039997;1817836;15340036;252964;1.54;3332;13996328;929084;3.75;694000;13436564;115592
