# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
lithium;60;1683036457;lo;1952.90;1952.90;650.42;650.42;0.00;0.00;0.00;0.00
lithium;60;1683036457;enp1s0;0.88;0.38;0.06;0.05;0.00;0.00;0.00;0.00
lithium;60;1683036517;lo;2659.90;2659.90;875.26;875.26;0.00;0.00;0.00;0.00
lithium;60;1683036517;enp1s0;0.60;0.10;0.03;0.01;0.00;0.00;0.00;0.00
lithium;60;1683036577;lo;2122.10;2122.10;699.84;699.84;0.00;0.00;0.00;0.00
lithium;60;1683036577;enp1s0;0.60;0.10;0.03;0.01;0.00;0.00;0.00;0.00
lithium;60;1683036637;lo;2649.20;2649.20;875.91;875.91;0.00;0.00;0.00;0.00
lithium;60;1683036637;enp1s0;0.60;0.10;0.03;0.01;0.00;0.00;0.00;0.00
lithium;60;1683036697;lo;2572.03;2572.03;848.02;848.02;0.00;0.00;0.00;0.00
lithium;60;1683036697;enp1s0;0.63;0.12;0.04;0.01;0.00;0.00;0.00;0.00
lithium;60;1683036757;lo;2747.00;2747.00;909.58;909.58;0.00;0.00;0.00;0.00
lithium;60;1683036757;enp1s0;0.70;0.18;0.05;0.01;0.00;0.00;0.00;0.00
lithium;60;1683036817;lo;2632.28;2632.28;870.02;870.02;0.00;0.00;0.00;0.00
lithium;60;1683036817;enp1s0;0.57;0.07;0.03;0.01;0.00;0.00;0.00;0.00
lithium;60;1683036877;lo;2663.67;2663.67;881.11;881.11;0.00;0.00;0.00;0.00
lithium;60;1683036877;enp1s0;0.53;0.05;0.03;0.00;0.00;0.00;0.00;0.00
lithium;60;1683036937;lo;2758.52;2758.52;907.25;907.25;0.00;0.00;0.00;0.00
lithium;60;1683036937;enp1s0;0.60;0.08;0.03;0.01;0.00;0.00;0.00;0.00
lithium;60;1683036997;lo;2391.05;2391.05;791.91;791.91;0.00;0.00;0.00;0.00
lithium;60;1683036997;enp1s0;0.62;0.12;0.04;0.01;0.00;0.00;0.00;0.00
lithium;60;1683037057;lo;2712.15;2712.15;897.57;897.57;0.00;0.00;0.00;0.00
lithium;60;1683037057;enp1s0;0.67;0.17;0.05;0.01;0.00;0.00;0.00;0.00
lithium;60;1683037117;lo;2599.18;2599.18;860.10;860.10;0.00;0.00;0.00;0.00
lithium;60;1683037117;enp1s0;0.60;0.10;0.03;0.01;0.00;0.00;0.00;0.00
