ctime,datid,datname,pid,leader_pid,usesysid,usename,application_name,client_addr,client_hostname,client_port,backend_start,xact_start,query_start,state_change,wait_event_type,wait_event,state,backend_xid,backend_xmin,query_id,query,backend_type
1682719655.812885,,,1472,,,,"",,,,2023-04-28 07:35:29.991606-07,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1682719655.812885,,,1474,,10,postgres,"",,,,2023-04-28 07:35:29.992615-07,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1682719655.812885,22501,dbt2,16391,,10,postgres,dbt2-client,192.168.122.160,,39956,2023-04-28 15:07:23.339525-07,,,2023-04-28 15:07:23.620646-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16392,,10,postgres,dbt2-client,192.168.122.160,,39960,2023-04-28 15:07:23.44156-07,,,2023-04-28 15:07:23.622042-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16393,,10,postgres,dbt2-client,192.168.122.160,,39974,2023-04-28 15:07:23.539678-07,,,2023-04-28 15:07:23.624764-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16394,,10,postgres,dbt2-client,192.168.122.160,,39986,2023-04-28 15:07:23.639898-07,,,2023-04-28 15:07:23.654792-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16395,,10,postgres,dbt2-client,192.168.122.160,,39988,2023-04-28 15:07:23.742353-07,,,2023-04-28 15:07:23.757872-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16396,,10,postgres,dbt2-client,192.168.122.160,,39998,2023-04-28 15:07:23.842987-07,,,2023-04-28 15:07:23.858802-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16397,,10,postgres,dbt2-client,192.168.122.160,,40004,2023-04-28 15:07:23.943894-07,,,2023-04-28 15:07:23.959251-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16398,,10,postgres,dbt2-client,192.168.122.160,,40008,2023-04-28 15:07:24.043895-07,,,2023-04-28 15:07:24.059627-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16399,,10,postgres,dbt2-client,192.168.122.160,,40012,2023-04-28 15:07:24.14464-07,,,2023-04-28 15:07:24.16139-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16400,,10,postgres,dbt2-client,192.168.122.160,,40024,2023-04-28 15:07:24.24516-07,,,2023-04-28 15:07:24.262152-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16401,,10,postgres,dbt2-client,192.168.122.160,,40030,2023-04-28 15:07:24.345073-07,,,2023-04-28 15:07:24.361231-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16402,,10,postgres,dbt2-client,192.168.122.160,,40040,2023-04-28 15:07:24.445794-07,,,2023-04-28 15:07:24.461381-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16403,,10,postgres,dbt2-client,192.168.122.160,,40050,2023-04-28 15:07:24.545992-07,,,2023-04-28 15:07:24.562141-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16404,,10,postgres,dbt2-client,192.168.122.160,,40058,2023-04-28 15:07:24.646783-07,,,2023-04-28 15:07:24.662524-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16405,,10,postgres,dbt2-client,192.168.122.160,,40064,2023-04-28 15:07:24.747044-07,,,2023-04-28 15:07:24.762326-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16406,,10,postgres,dbt2-client,192.168.122.160,,40080,2023-04-28 15:07:24.847633-07,,,2023-04-28 15:07:24.863285-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16407,,10,postgres,dbt2-client,192.168.122.160,,40094,2023-04-28 15:07:24.94799-07,,,2023-04-28 15:07:24.964048-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16408,,10,postgres,dbt2-client,192.168.122.160,,40106,2023-04-28 15:07:25.048418-07,,,2023-04-28 15:07:25.064033-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16409,,10,postgres,dbt2-client,192.168.122.160,,40114,2023-04-28 15:07:25.148938-07,,,2023-04-28 15:07:25.166707-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16410,,10,postgres,dbt2-client,192.168.122.160,,40122,2023-04-28 15:07:25.249391-07,,,2023-04-28 15:07:25.26792-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16411,,10,postgres,dbt2-client,192.168.122.160,,40124,2023-04-28 15:07:25.347669-07,,,2023-04-28 15:07:25.354736-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16412,,10,postgres,dbt2-client,192.168.122.160,,40132,2023-04-28 15:07:25.450819-07,,,2023-04-28 15:07:25.466172-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16413,,10,postgres,dbt2-client,192.168.122.160,,40142,2023-04-28 15:07:25.55082-07,,,2023-04-28 15:07:25.56534-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16414,,10,postgres,dbt2-client,192.168.122.160,,40148,2023-04-28 15:07:25.650227-07,,,2023-04-28 15:07:25.662174-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16415,,10,postgres,dbt2-client,192.168.122.160,,40162,2023-04-28 15:07:25.75084-07,,,2023-04-28 15:07:25.766276-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16416,,10,postgres,dbt2-client,192.168.122.160,,40178,2023-04-28 15:07:25.851653-07,,,2023-04-28 15:07:25.866455-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16417,,10,postgres,dbt2-client,192.168.122.160,,40190,2023-04-28 15:07:25.952292-07,,,2023-04-28 15:07:25.967547-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16418,,10,postgres,dbt2-client,192.168.122.160,,40204,2023-04-28 15:07:26.052979-07,,,2023-04-28 15:07:26.071122-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16419,,10,postgres,dbt2-client,192.168.122.160,,40208,2023-04-28 15:07:26.151663-07,,,2023-04-28 15:07:26.161298-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16420,,10,postgres,dbt2-client,192.168.122.160,,40224,2023-04-28 15:07:26.251016-07,,,2023-04-28 15:07:26.258188-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16421,,10,postgres,dbt2-client,192.168.122.160,,40240,2023-04-28 15:07:26.353885-07,,,2023-04-28 15:07:26.370729-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16422,,10,postgres,dbt2-client,192.168.122.160,,40248,2023-04-28 15:07:26.453748-07,,,2023-04-28 15:07:26.468636-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16423,,10,postgres,dbt2-client,192.168.122.160,,40252,2023-04-28 15:07:26.554504-07,,,2023-04-28 15:07:26.569773-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16424,,10,postgres,dbt2-client,192.168.122.160,,40254,2023-04-28 15:07:26.655163-07,,,2023-04-28 15:07:26.670887-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16425,,10,postgres,dbt2-client,192.168.122.160,,40260,2023-04-28 15:07:26.755773-07,,,2023-04-28 15:07:26.771934-07,Client,ClientRead,idle,,,,"",client backend
1682719655.812885,22501,dbt2,16426,,10,postgres,dbt2-client,192.168.122.160,,40272,2023-04-28 15:07:26.855333-07,,,2023-04-28 15:07:26.862924-07,Client,ClientRead,idle,,,,"",client backend
