ctime,datname,nspname,relname,locktype,database,relation,page,tuple,virtualxid,transactionid,classid,objid,objsubid,virtualtransaction,pid,mode,granted,fastpath,waitstart
1682719655.861302,dbt2,pg_catalog,pg_namespace,relation,22501,2615,,,,,,,,103/1112,16623,AccessShareLock,t,t,
1682719655.861302,dbt2,pg_catalog,pg_namespace_nspname_index,relation,22501,2684,,,,,,,,103/1112,16623,AccessShareLock,t,t,
1682719655.861302,dbt2,pg_catalog,pg_namespace_oid_index,relation,22501,2685,,,,,,,,103/1112,16623,AccessShareLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,59/16204,16447,AccessShareLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,11/16249,16399,AccessShareLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,70/16272,16458,RowExclusiveLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,57/16250,16445,AccessShareLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,73/16340,16461,AccessShareLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,25/16277,16413,AccessShareLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,35/16184,16423,AccessShareLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,73/16340,16461,RowExclusiveLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,71/16154,16459,AccessShareLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,23/16247,16411,RowExclusiveLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,76/16592,16464,AccessShareLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,50/16317,16438,AccessShareLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,23/16247,16411,AccessShareLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,32/16468,16420,AccessShareLock,t,t,
1682719715.913133,dbt2,public,customer,relation,22501,22508,,,,,,,,90/16023,16478,AccessShareLock,t,t,
