ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1719457505.906756,4167,pg_toast,pg_toast_3256,0,0,0,0,,,,,4167,pg_toast,pg_toast_3256,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4181,pg_toast,pg_toast_6000,0,0,1,0,,,,,4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.862752+00,,,,1,0,0,0
1719457505.906756,4143,pg_toast,pg_toast_826,0,0,0,0,,,,,4143,pg_toast,pg_toast_826,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4155,pg_toast,pg_toast_3394,0,0,0,0,,,,,4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,3598,pg_toast,pg_toast_3596,0,0,0,0,,,,,3598,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4060,pg_toast,pg_toast_3592,0,0,1,0,,,,,4060,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.863585+00,,,,1,0,0,0
1719457505.906756,6175,pg_toast,pg_toast_3456,0,0,0,0,,,,,6175,pg_toast,pg_toast_3456,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,6244,pg_toast,pg_toast_6243,0,0,1,0,,,,,6244,pg_toast,pg_toast_6243,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.864161+00,,,,1,0,0,0
1719457505.906756,4165,pg_toast,pg_toast_3350,0,0,0,0,,,,,4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,6228,pg_toast,pg_toast_6106,0,0,0,0,,,,,6228,pg_toast,pg_toast_6106,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1719457505.906756,4183,pg_toast,pg_toast_6100,0,0,1,0,,,,,4183,pg_toast,pg_toast_6100,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.862487+00,,,,1,0,0,0
1719457505.906756,1260,pg_catalog,pg_authid,15,422698,42,835514,0,0,1,0,1260,pg_catalog,pg_authid,4891,61543,417777,417777,0,0,0,0,13,0,0,0,2024-06-14 00:25:46.798184+00,,2024-06-26 23:46:00.347454+00,,1,0,19,0
1719457505.906756,3429,pg_catalog,pg_statistic_ext_data,0,0,0,0,0,0,0,0,3429,pg_catalog,pg_statistic_ext_data,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:01.709287+00,,0,0,18,0
1719457505.906756,1418,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,1418,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:02.960997+00,,0,0,18,0
1719457505.906756,6100,pg_catalog,pg_subscription,0,0,10,2344,0,0,1,0,6100,pg_catalog,pg_subscription,4285,0,0,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.86213+00,,2024-06-26 23:46:02.961145+00,,1,0,19,0
1719457505.906756,1249,pg_catalog,pg_attribute,161,3221384,95,7041132,,,,,1249,pg_catalog,pg_attribute,1552,7494,3143353,6086929,18041,0,17223,0,3872,908,1726,919,,2024-06-26 23:45:29.508061+00,2024-06-26 23:46:02.970687+00,2024-06-26 23:45:29.518276+00,0,18,18,28
1719457505.906756,1255,pg_catalog,pg_proc,238,152711,31,269275,0,0,0,0,1255,pg_catalog,pg_proc,0,0,121676,172938,0,0,0,0,3244,0,0,0,,,2024-06-26 23:46:02.983209+00,,0,0,18,0
1719457505.906756,1259,pg_catalog,pg_class,44,37753765,16,4821389,,,,,1259,pg_catalog,pg_class,1969452,736861981,2042158,1942681,2459,1104,2413,927,456,148,183,132,,2024-06-26 23:45:29.518848+00,2024-06-26 23:46:02.985525+00,2024-06-26 23:45:56.192992+00,0,17,18,33
1719457505.906756,2604,pg_catalog,pg_attrdef,0,0,2,158,0,0,0,0,2604,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:02.985721+00,,0,0,18,0
1719457505.906756,2606,pg_catalog,pg_constraint,10,631,6,2368,0,0,0,0,2606,pg_catalog,pg_constraint,0,0,1663,569,0,0,0,0,111,0,0,0,,,2024-06-26 23:46:02.986497+00,,0,0,18,0
1719457505.906756,2611,pg_catalog,pg_inherits,0,0,2,5144,,,,,2611,pg_catalog,pg_inherits,160,0,2413,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:02.986731+00,,0,0,18,0
1719457505.906756,2610,pg_catalog,pg_index,16,973434,4,1606604,,,,,2610,pg_catalog,pg_index,2710,434307,970955,1000882,1656,0,1651,0,167,90,95,91,,2024-06-26 23:45:29.549944+00,2024-06-26 23:46:02.987711+00,2024-06-26 23:45:56.196004+00,0,17,18,32
1719457505.906756,2617,pg_catalog,pg_operator,15,36469,10,70824,,,,,2617,pg_catalog,pg_operator,0,0,28274,40175,0,0,0,0,799,0,0,0,,,2024-06-26 23:46:02.989539+00,,0,0,18,0
1719457505.906756,2753,pg_catalog,pg_opfamily,9,45,0,0,,,,,2753,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,146,0,0,0,,,2024-06-26 23:46:02.989859+00,,0,0,18,0
1719457505.906756,2616,pg_catalog,pg_opclass,7,1105302,4,1431992,,,,,2616,pg_catalog,pg_opclass,282,282,745064,1802226,0,0,0,0,177,0,0,0,,,2024-06-26 23:46:02.990364+00,,0,0,18,0
1719457505.906756,2601,pg_catalog,pg_am,2,690831,3,191,,,,,2601,pg_catalog,pg_am,690637,690637,160,160,0,0,0,0,7,0,0,0,,,2024-06-26 23:46:02.990572+00,,0,0,18,0
