stream,query,template,s_time,e_time,elapsed_time,diff_time
-1,-1,TABLE,2024-06-27 03:05:05,2024-06-27 03:05:31,00:00:25.566533,25.566533
-1,-1,INDEX,2024-06-27 03:05:31,2024-06-27 03:05:36,00:00:04.61405,4.614050
-1,-1,ANALYZE,2024-06-27 03:05:36,2024-06-27 03:05:39,00:00:03.655999,3.655999
-1,-1,LOADTEST,2024-06-27 03:05:05,2024-06-27 03:05:39,00:00:33.988806,33.988806
