# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
palamar;60;1719461383;0.00;14.00;2635.92;0.00;1788.42;0.00;0.00;0.00;0.00
palamar;60;1719461443;0.00;13.93;2648.08;0.00;1798.47;0.00;0.00;0.00;0.00
palamar;60;1719461503;0.00;13.67;2648.30;0.00;1808.77;0.00;0.00;0.00;0.00
palamar;60;1719461563;0.00;16.73;3697.00;0.00;2670.53;0.00;0.00;0.00;0.00
palamar;60;1719461623;0.00;14.82;2666.58;0.00;1819.75;0.00;0.00;0.00;0.00
palamar;60;1719461683;0.00;2337.75;10220.58;0.00;3214.90;0.00;0.00;0.00;0.00
palamar;60;1719461743;0.00;4448.40;2765.35;0.00;2933.40;0.00;0.00;0.00;0.00
palamar;60;1719461803;0.00;15.08;2638.93;0.00;1937.60;0.00;0.00;0.00;0.00
palamar;60;1719461863;0.00;18.82;2647.15;0.00;1797.85;0.00;0.00;0.00;0.00
palamar;60;1719461923;0.00;13.87;2638.82;0.00;1790.55;0.00;0.00;0.00;0.00
palamar;60;1719461983;0.00;14.20;2624.93;0.00;1781.10;0.00;0.00;0.00;0.00
palamar;60;1719462043;0.00;14.60;2625.48;0.00;1779.85;0.00;0.00;0.00;0.00
palamar;60;1719462103;0.00;14.08;2635.98;0.00;1797.93;0.00;0.00;0.00;0.00
palamar;60;1719462163;0.00;13.13;2648.62;0.00;1801.93;0.00;0.00;0.00;0.00
palamar;60;1719462223;0.00;13.67;2634.58;0.00;1790.93;0.00;0.00;0.00;0.00
palamar;60;1719462283;0.00;13.67;2662.27;0.00;1809.28;0.00;0.00;0.00;0.00
palamar;60;1719462343;0.00;21.42;2671.15;0.00;1812.32;0.00;0.00;0.00;0.00
palamar;60;1719462403;0.00;13.42;2652.08;0.00;1797.98;0.00;0.00;0.00;0.00
palamar;60;1719462463;0.00;14.20;2637.65;0.00;1791.40;0.00;0.00;0.00;0.00
palamar;60;1719462523;0.00;13.60;2664.78;0.00;1807.82;0.00;0.00;0.00;0.00
palamar;60;1719462583;0.00;13.53;2666.15;0.00;1807.68;0.00;0.00;0.00;0.00
palamar;60;1719462643;0.00;13.60;2653.25;0.00;1800.28;0.00;0.00;0.00;0.00
palamar;60;1719462703;0.00;13.60;2651.78;0.00;1798.50;0.00;0.00;0.00;0.00
palamar;60;1719462763;0.00;13.73;2665.37;0.00;1814.58;0.00;0.00;0.00;0.00
palamar;60;1719462823;0.00;14.33;2623.77;0.00;1782.30;0.00;0.00;0.00;0.00
palamar;60;1719462883;0.00;13.67;2636.28;0.00;1794.45;0.00;0.00;0.00;0.00
palamar;60;1719462943;0.00;829.00;4186.27;0.00;3552.32;0.00;0.00;0.00;0.00
palamar;60;1719463003;0.00;674.48;2637.30;0.00;1791.00;0.00;0.00;0.00;0.00
palamar;60;1719463063;0.00;13.93;2638.55;0.00;1788.27;0.00;0.00;0.00;0.00
palamar;60;1719463123;0.00;14.42;2664.37;0.00;1809.30;0.00;0.00;0.00;0.00
palamar;60;1719463183;0.00;14.07;2625.57;0.00;1778.60;0.00;0.00;0.00;0.00
palamar;60;1719463243;0.00;14.07;2654.25;0.00;1801.00;0.00;0.00;0.00;0.00
palamar;60;1719463303;0.00;13.20;2652.93;0.00;1808.38;0.00;0.00;0.00;0.00
palamar;60;1719463363;0.00;13.80;2611.72;0.00;1773.88;0.00;0.00;0.00;0.00
palamar;60;1719463423;0.00;13.33;2652.33;0.00;1799.12;0.00;0.00;0.00;0.00
palamar;60;1719463483;0.00;13.80;2716.30;0.00;1822.73;0.00;0.00;0.00;0.00
palamar;60;1719463543;0.00;18.73;2645.35;0.00;1793.78;0.00;0.00;0.00;0.00
palamar;60;1719463603;0.00;13.73;2635.75;0.00;1793.30;0.00;0.00;0.00;0.00
palamar;60;1719463663;0.00;13.73;2649.90;0.00;1800.57;0.00;0.00;0.00;0.00
palamar;60;1719463723;0.00;14.07;2622.18;0.00;1782.18;0.00;0.00;0.00;0.00
palamar;60;1719463783;0.00;13.93;2650.53;0.00;1800.98;0.00;0.00;0.00;0.00
palamar;60;1719463843;0.00;415.47;11198.53;0.00;4794.93;0.00;0.00;0.00;0.00
palamar;60;1719463903;0.00;322.00;25253.38;0.00;11526.63;0.00;0.00;0.00;0.00
palamar;60;1719463963;0.00;819.13;8588.65;0.00;4569.93;0.00;0.00;0.00;0.00
palamar;60;1719464023;0.00;15.48;2666.42;0.00;1810.42;0.00;0.00;0.00;0.00
palamar;60;1719464083;0.00;14.42;2653.17;0.00;1812.60;0.00;0.00;0.00;0.00
palamar;60;1719464143;0.00;20.07;2635.87;0.00;1787.50;0.00;0.00;0.00;0.00
palamar;60;1719464203;0.00;14.33;2652.65;0.00;1803.30;0.00;0.00;0.00;0.00
palamar;60;1719464263;0.00;14.42;2636.35;0.00;1792.77;0.00;0.00;0.00;0.00
palamar;60;1719464323;0.00;13.67;2651.40;0.00;1801.98;0.00;0.00;0.00;0.00
palamar;60;1719464383;0.00;14.13;2623.75;0.00;1781.52;0.00;0.00;0.00;0.00
palamar;60;1719464443;0.00;14.20;2663.32;0.00;1810.18;0.00;0.00;0.00;0.00
palamar;60;1719464503;0.00;14.27;2626.05;0.00;1794.17;0.00;0.00;0.00;0.00
palamar;60;1719464563;0.00;13.20;2640.17;0.00;1796.58;0.00;0.00;0.00;0.00
palamar;60;1719464623;0.00;13.80;2653.75;0.00;1802.57;0.00;0.00;0.00;0.00
palamar;60;1719464683;0.00;13.00;2666.95;0.00;1811.63;0.00;0.00;0.00;0.00
palamar;60;1719464743;0.00;27.60;5500.92;0.00;3086.50;0.00;0.00;0.00;0.00
palamar;60;1719464803;0.00;20.30;2640.32;0.00;1849.65;0.00;0.00;0.00;0.00
