# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
sodium;60;1682721334;enp1s0;4480.67;3742.10;9250.55;8748.37;0.00;0.00;0.00;0.00
sodium;60;1682721394;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682721394;enp1s0;4542.88;3796.52;9392.97;8883.06;0.00;0.00;0.00;0.00
sodium;60;1682721454;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682721454;enp1s0;3752.08;3058.92;7460.64;7050.65;0.00;0.00;0.00;0.00
sodium;60;1682721514;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682721514;enp1s0;3976.37;3260.97;7998.81;7562.26;0.00;0.00;0.00;0.00
sodium;60;1682721574;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682721574;enp1s0;4044.75;3310.95;8133.42;7687.45;0.00;0.00;0.00;0.00
sodium;60;1682721634;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682721634;enp1s0;3849.80;3154.28;7748.63;7325.04;0.00;0.00;0.00;0.00
sodium;60;1682721694;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682721694;enp1s0;3737.75;3053.90;7466.56;7058.11;0.00;0.00;0.00;0.00
sodium;60;1682721754;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682721754;enp1s0;3360.22;2718.87;6581.96;6219.81;0.00;0.00;0.00;0.00
sodium;60;1682721814;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682721814;enp1s0;3962.05;3260.68;7981.76;7545.98;0.00;0.00;0.00;0.00
sodium;60;1682721874;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682721874;enp1s0;4065.63;3334.02;8181.29;7734.60;0.00;0.00;0.00;0.00
sodium;60;1682721934;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682721934;enp1s0;4050.93;3328.37;8153.63;7708.08;0.00;0.00;0.00;0.00
sodium;60;1682721994;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682721994;enp1s0;3993.35;3272.60;8007.94;7565.80;0.00;0.00;0.00;0.00
sodium;60;1682722054;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
