# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
pgsql1.dbt3.internal;60;1654126024;0.07;71456.33;15295.25;0.00;40642.02;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126084;0.00;99974.53;4430.87;0.00;34260.10;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126144;1.13;31649.27;9540.52;0.02;28827.75;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126204;0.07;13932.40;10559.72;0.00;25708.43;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126264;0.07;4236.07;5220.62;0.00;10727.45;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126324;0.00;13184.07;8872.10;0.00;12221.22;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126384;0.07;3521.80;5834.13;0.00;10495.62;0.00;0.00;0.00;0.00
pgsql1.dbt3.internal;60;1654126444;0.07;1278.07;9826.52;0.00;15454.62;0.00;0.00;0.00;0.00
