# hostname;interval;timestamp;pswpin/s;pswpout/s
potassium;60;1682725242;0.00;0.00
potassium;60;1682725302;0.00;0.00
potassium;60;1682725362;0.00;0.00
potassium;60;1682725422;0.00;0.00
potassium;60;1682725482;0.00;0.00
potassium;60;1682725542;0.00;0.00
potassium;60;1682725602;0.00;0.00
potassium;60;1682725662;0.00;0.00
potassium;60;1682725722;0.00;0.00
potassium;60;1682725782;0.00;0.00
potassium;60;1682725842;0.00;0.00
potassium;60;1682725902;0.00;0.00
potassium;60;1682725962;0.00;0.00
potassium;60;1682726022;0.00;0.00
potassium;60;1682726082;0.00;0.00
potassium;60;1682726142;0.00;0.00
potassium;60;1682726202;0.00;0.00
potassium;60;1682726262;0.00;0.00
potassium;60;1682726322;0.00;0.00
potassium;60;1682726382;0.00;0.00
potassium;60;1682726442;0.00;0.00
potassium;60;1682726502;0.00;0.00
potassium;60;1682726562;0.00;0.00
potassium;60;1682726622;0.00;0.00
potassium;60;1682726682;0.00;0.00
potassium;60;1682726742;0.00;0.00
potassium;60;1682726802;0.00;0.00
potassium;60;1682726862;0.00;0.00
potassium;60;1682726922;0.00;0.00
potassium;60;1682726982;0.00;0.00
potassium;60;1682727042;0.00;0.00
potassium;60;1682727102;0.00;0.00
potassium;60;1682727162;0.00;0.00
potassium;60;1682727222;0.00;0.00
potassium;60;1682727282;0.00;0.00
potassium;60;1682727342;0.00;0.00
potassium;60;1682727402;0.00;0.00
potassium;60;1682727462;0.00;0.00
potassium;60;1682727522;0.00;0.00
potassium;60;1682727582;0.00;0.00
potassium;60;1682727642;0.00;0.00
potassium;60;1682727702;0.00;0.00
potassium;60;1682727762;0.00;0.00
potassium;60;1682727822;0.00;0.00
potassium;60;1682727882;0.00;0.00
potassium;60;1682727942;0.00;0.00
potassium;60;1682728002;0.00;0.00
potassium;60;1682728062;0.00;0.00
potassium;60;1682728122;0.00;0.00
potassium;60;1682728182;0.00;0.00
potassium;60;1682728242;0.00;0.00
potassium;60;1682728302;0.00;0.00
potassium;60;1682728362;0.00;0.00
potassium;60;1682728422;0.00;0.00
potassium;60;1682728482;0.00;0.00
potassium;60;1682728542;0.00;0.00
potassium;60;1682728602;0.00;0.00
potassium;60;1682728662;0.00;0.00
potassium;60;1682728722;0.00;0.00
potassium;60;1682728782;0.00;0.00
