ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1683036397.557279,0,,0,0,0,57,1847,583,451,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-05-02 07:02:27.821436-07
1683036397.557279,14779,postgres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036397.557279,22501,dbt2,1,16888,63,181841,3377581,860775,726973,99735,182973,6458,0,0,0,0,,,0,0,181842.244,163528.392,8002.22,72,0,0,0,2023-05-02 07:02:27.821058-07
1683036397.557279,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036397.557279,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036457.622068,0,,0,0,0,68,2652,790,646,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-05-02 07:02:27.821436-07
1683036457.622068,14779,postgres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036457.622068,22501,dbt2,5,35553,151,306767,6664656,1831177,1539807,212668,391124,13539,0,0,0,0,,,0,0,419627.412,381937.733,16929.995,104,0,0,0,2023-05-02 07:02:27.821058-07
1683036457.622068,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036457.622068,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036517.641180,0,,0,0,0,96,2787,873,685,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-05-02 07:02:27.821436-07
1683036517.641180,14779,postgres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036517.641180,22501,dbt2,5,61453,231,446640,10988141,3070820,2594458,365109,669882,22962,0,0,0,0,,,0,0,659834.197,602630.531,26031.226,109,0,0,0,2023-05-02 07:02:27.821058-07
1683036517.641180,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036517.641180,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036577.680557,0,,0,0,0,121,2992,960,740,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-05-02 07:02:27.821436-07
1683036577.680557,14779,postgres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036577.680557,22501,dbt2,7,82100,311,571338,14460222,4077229,3452608,487678,896284,30756,0,0,0,0,,,0,0,901607.714,823685.744,35595.034,117,0,0,0,2023-05-02 07:02:27.821058-07
1683036577.680557,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036577.680557,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036637.612994,0,,0,0,0,146,3097,1015,771,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-05-02 07:02:27.821436-07
1683036637.612994,14779,postgres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036637.612994,22501,dbt2,7,107767,435,733933,18950535,5380584,4575112,644780,1191969,41338,0,0,0,0,,,0,0,1141159.84,1042934.459,45435.871,121,0,0,0,2023-05-02 07:02:27.821058-07
1683036637.612994,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036637.612994,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036697.607585,0,,0,0,0,171,3214,1082,806,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-05-02 07:02:27.821436-07
1683036697.607585,14779,postgres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036697.607585,22501,dbt2,6,132813,563,895794,23228604,6617125,5640695,793886,1475596,51551,0,0,0,0,,,0,0,1381849.161,1263626.572,55013.945,125,0,0,0,2023-05-02 07:02:27.821058-07
1683036697.607585,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036697.607585,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036757.683361,0,,0,0,0,196,3369,1153,849,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-05-02 07:02:27.821436-07
1683036757.683361,14779,postgres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036757.683361,22501,dbt2,7,159517,695,1076479,27772746,7946444,6791518,955652,1766004,61379,0,0,0,0,,,0,0,1622036.513,1484084.579,64363.345,131,0,0,0,2023-05-02 07:02:27.821058-07
1683036757.683361,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036757.683361,14778,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1683036817.704367,0,,0,0,0,221,3474,1208,880,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2023-05-02 07:02:27.821436-07
1683036817.704367,14779,postgres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
