ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1683036397.595378,3350,pg_catalog,pg_partitioned_table,0,0,0,0,0,0,0,0,3350,pg_catalog,pg_partitioned_table,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,2618,pg_catalog,pg_rewrite,24,15,8,54,38,9,8,42,2618,pg_catalog,pg_rewrite,0,0,35,39,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,4153,pg_toast,pg_toast_3118,0,0,0,0,,,,,4153,pg_toast,pg_toast_3118,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,4177,pg_toast,pg_toast_1262,0,0,0,0,,,,,4177,pg_toast,pg_toast_1262,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,4060,pg_toast,pg_toast_3592,0,0,0,0,,,,,4060,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,4159,pg_toast,pg_toast_2600,0,0,0,0,,,,,4159,pg_toast,pg_toast_2600,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,4165,pg_toast,pg_toast_3350,0,0,0,0,,,,,4165,pg_toast,pg_toast_3350,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,4147,pg_toast,pg_toast_3079,0,0,0,0,,,,,4147,pg_toast,pg_toast_3079,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,14597,information_schema,sql_features,0,0,,,0,0,0,0,14597,information_schema,sql_features,0,0,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,2753,pg_catalog,pg_opfamily,0,0,0,0,,,,,2753,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,4181,pg_toast,pg_toast_6000,0,0,0,0,,,,,4181,pg_toast,pg_toast_6000,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,1247,pg_catalog,pg_type,17,936,17,1977,0,0,0,0,1247,pg_catalog,pg_type,0,0,959,953,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,3601,pg_catalog,pg_ts_parser,0,0,0,0,,,,,3601,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,2602,pg_catalog,pg_amop,30,734,36,1052,,,,,2602,pg_catalog,pg_amop,0,0,479,950,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,3439,pg_toast,pg_toast_3381,0,0,0,0,,,,,3439,pg_toast,pg_toast_3381,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,6104,pg_catalog,pg_publication,0,0,0,0,,,,,6104,pg_catalog,pg_publication,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,22513,public,history,88,7595,,,,,,,22513,public,history,0,0,,,7427,0,0,0,7427,0,7427,7427,,,,,0,0,0,0
1683036397.595378,22502,public,warehouse,117,29684,3,14829,,,,,22502,public,warehouse,0,0,14827,14827,0,7427,0,7427,100,25,0,0,,,,2023-05-02 07:05:48.937471-07,0,0,0,4
1683036397.595378,3429,pg_catalog,pg_statistic_ext_data,0,0,0,0,0,0,0,0,3429,pg_catalog,pg_statistic_ext_data,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,2846,pg_toast,pg_toast_2396,0,0,0,0,,,,,2846,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,4145,pg_toast,pg_toast_3466,0,0,0,0,,,,,4145,pg_toast,pg_toast_3466,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,22528,public,stock,43134,329799,1075,1153778,,,,,22528,public,stock,0,0,290556,175146,0,77460,0,0,0,77460,76825,0,,,,,0,0,0,0
1683036397.595378,2619,pg_catalog,pg_statistic,104,466,20,1027,67,206,8,163,2619,pg_catalog,pg_statistic,0,0,490,490,0,80,0,80,0,15,80,0,,,,,0,0,0,0
1683036397.595378,22519,public,orders,90152,33021,6372,81417,,,,,22519,public,orders,0,0,7067,96866,7400,6410,0,5293,7337,1279,13747,7400,,,,,0,0,0,0
1683036397.595378,4155,pg_toast,pg_toast_3394,0,0,0,0,,,,,4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1683036397.595378,3541,pg_catalog,pg_range,0,0,4,4,,,,,3541,pg_catalog,pg_range,0,0,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
